,Episode,Performance,Distractor,Correct
0,1960,0.916167665,White,VV10O1
1,1961,0.916167665,White,VV10O1
2,1962,0.916167665,White,VV10O1
3,1963,0.916167665,White,VV10O1
4,1964,0.916167665,White,VV10O1
5,1965,0.916167665,White,VV10O1
6,1966,0.916167665,White,VV10O1
7,1967,0.916167665,White,VV10O1
8,1968,0.916167665,White,VV10O1
9,1969,0.916167665,White,VV10O1
10,1970,0.916167665,White,VV10O1
11,1971,0.916167665,White,VV10O1
12,1972,0.916167665,White,VV10O1
13,1973,0.916167665,White,VV10O1
14,1974,0.916167665,White,VV10O1
15,1975,0.916167665,White,VV10O1
16,1976,0.916167665,White,VV10O1
17,1977,0.916167665,White,VV10O1
18,1978,0.916167665,White,VV10O1
19,1979,0.916167665,White,VV10O1
20,1980,0.916167665,White,VV10O1
21,1981,0.916167665,White,VV10O1
22,1982,0.916167665,White,VV10O1
23,1983,0.916167665,White,VV10O1
24,1984,0.916167665,White,VV10O1
25,1985,0.916167665,White,VV10O1
26,1986,0.916167665,White,VV10O1
27,1987,0.916167665,White,VV10O1
28,1988,0.916167665,White,VV10O1
29,1989,0.916167665,White,VV10O1
30,1990,0.916167665,White,VV10O1
31,1991,0.916167665,White,VV10O1
32,1992,0.916167665,White,VV10O1
33,1993,0.916167665,White,VV10O1
34,1994,0.916167665,White,VV10O1
35,1995,0.916167665,White,VV10O1
36,1996,0.916167665,White,VV10O1
37,1997,0.916167665,White,VV10O1
38,1998,0.916167665,White,VV10O1
39,1999,0.916167665,White,VV10O1
40,2000,0.916167665,White,VV10O1
