,Episode,Performance,Distractor,Correct
0,1960,0.916666667,White,VV1O2
1,1961,0.916666667,White,VV1O2
2,1962,0.916666667,White,VV1O2
3,1963,0.916666667,White,VV1O2
4,1964,0.916666667,White,VV1O2
5,1965,0.916666667,White,VV1O2
6,1966,0.916666667,White,VV1O2
7,1967,0.916666667,White,VV1O2
8,1968,0.916666667,White,VV1O2
9,1969,0.916666667,White,VV1O2
10,1970,0.916666667,White,VV1O2
11,1971,0.916666667,White,VV1O2
12,1972,0.916666667,White,VV1O2
13,1973,0.916666667,White,VV1O2
14,1974,0.916666667,White,VV1O2
15,1975,0.916666667,White,VV1O2
16,1976,0.916666667,White,VV1O2
17,1977,0.916666667,White,VV1O2
18,1978,0.916666667,White,VV1O2
19,1979,0.916666667,White,VV1O2
20,1980,0.916666667,White,VV1O2
21,1981,0.916666667,White,VV1O2
22,1982,0.916666667,White,VV1O2
23,1983,0.916666667,White,VV1O2
24,1984,0.916666667,White,VV1O2
25,1985,0.916666667,White,VV1O2
26,1986,0.916666667,White,VV1O2
27,1987,0.916666667,White,VV1O2
28,1988,0.916666667,White,VV1O2
29,1989,0.916666667,White,VV1O2
30,1990,0.916666667,White,VV1O2
31,1991,0.916666667,White,VV1O2
32,1992,0.916666667,White,VV1O2
33,1993,0.916666667,White,VV1O2
34,1994,0.916666667,White,VV1O2
35,1995,0.916666667,White,VV1O2
36,1996,0.916666667,White,VV1O2
37,1997,0.916666667,White,VV1O2
38,1998,0.916666667,White,VV1O2
39,1999,0.916666667,White,VV1O2
40,2000,0.916666667,White,VV1O2
