Episode,Performance,Distractor,Correct
0,1.0,White,V1O1
1,0.0,White,V1O1
2,1.0,White,V1O1
3,0.0,White,V1O1
4,1.0,White,V1O1
5,1.0,White,V1O1
6,1.0,White,V1O1
7,0.0,White,V1O1
8,1.0,White,V1O1
9,0.0,White,V1O1
10,0.7174447174447175,White,V1O1
11,0.5214899713467048,White,V1O1
12,0.6901140684410646,White,V1O1
13,0.4605911330049261,White,V1O1
14,0.23140495867768596,White,V1O1
15,0.5454545454545454,White,V1O1
16,0.512022630834512,White,V1O1
17,0.0,White,V1O1
18,0.0,White,V1O1
19,0.3111413043478261,White,V1O1
20,0.8430079155672823,White,V1O1
21,0.0,White,V1O1
22,0.0,White,V1O1
23,0.0,White,V1O1
24,0.8539944903581267,White,V1O1
25,1.0,White,V1O1
26,1.0,White,V1O1
27,1.0,White,V1O1
28,1.0,White,V1O1
29,0.0,White,V1O1
30,1.0,White,V1O1
31,0.0,White,V1O1
32,0.09576427255985268,White,V1O1
33,1.0,White,V1O1
34,0.0,White,V1O1
35,0.0,White,V1O1
36,0.0,White,V1O1
37,1.0,White,V1O1
38,1.0,White,V1O1
39,0.0,White,V1O1
40,1.0,White,V1O1
41,0.0,White,V1O1
42,0.0,White,V1O1
43,1.0,White,V1O1
44,1.0,White,V1O1
45,1.0,White,V1O1
46,0.0,White,V1O1
47,1.0,White,V1O1
48,1.0,White,V1O1
49,0.0,White,V1O1
50,0.0,White,V1O1
51,1.0,White,V1O1
52,0.18032786885245902,White,V1O1
53,0.0,White,V1O1
54,1.0,White,V1O1
55,0.0,White,V1O1
56,0.9219143576826196,White,V1O1
57,0.0,White,V1O1
58,0.0,White,V1O1
59,0.0,White,V1O1
60,1.0,White,V1O1
61,1.0,White,V1O1
62,0.0,White,V1O1
63,1.0,White,V1O1
64,1.0,White,V1O1
65,1.0,White,V1O1
66,1.0,White,V1O1
67,1.0,White,V1O1
68,0.0,White,V1O1
69,0.0,White,V1O1
70,1.0,White,V1O1
71,1.0,White,V1O1
72,1.0,White,V1O1
73,1.0,White,V1O1
74,0.0,White,V1O1
75,1.0,White,V1O1
76,1.0,White,V1O1
77,1.0,White,V1O1
78,0.0,White,V1O1
79,1.0,White,V1O1
80,1.0,White,V1O1
81,0.0,White,V1O1
82,0.0,White,V1O1
83,0.0,White,V1O1
84,0.0,White,V1O1
85,1.0,White,V1O1
86,0.0,White,V1O1
87,1.0,White,V1O1
88,0.0,White,V1O1
89,1.0,White,V1O1
90,0.0,White,V1O1
91,1.0,White,V1O1
92,1.0,White,V1O1
93,0.0,White,V1O1
94,1.0,White,V1O1
95,1.0,White,V1O1
96,0.0,White,V1O1
97,1.0,White,V1O1
98,0.0,White,V1O1
99,1.0,White,V1O1
100,0.0,White,V1O1
101,1.0,White,V1O1
102,1.0,White,V1O1
103,0.0,White,V1O1
104,1.0,White,V1O1
105,1.0,White,V1O1
106,0.0,White,V1O1
107,1.0,White,V1O1
108,0.0,White,V1O1
109,0.0,White,V1O1
110,0.0,White,V1O1
111,1.0,White,V1O1
112,0.0,White,V1O1
113,0.0,White,V1O1
114,0.0,White,V1O1
115,1.0,White,V1O1
116,0.0,White,V1O1
117,0.0,White,V1O1
118,0.0,White,V1O1
119,1.0,White,V1O1
120,0.0,White,V1O1
121,0.0,White,V1O1
122,0.0,White,V1O1
123,0.0,White,V1O1
124,1.0,White,V1O1
125,0.0,White,V1O1
126,1.0,White,V1O1
127,1.0,White,V1O1
128,0.0,White,V1O1
129,1.0,White,V1O1
130,0.0,White,V1O1
131,1.0,White,V1O1
132,0.0,White,V1O1
133,1.0,White,V1O1
134,0.0,White,V1O1
135,1.0,White,V1O1
136,1.0,White,V1O1
137,1.0,White,V1O1
138,0.0,White,V1O1
139,1.0,White,V1O1
140,0.0,White,V1O1
141,0.0,White,V1O1
142,0.0,White,V1O1
143,1.0,White,V1O1
144,0.0,White,V1O1
145,1.0,White,V1O1
146,1.0,White,V1O1
147,0.0,White,V1O1
148,1.0,White,V1O1
149,1.0,White,V1O1
150,1.0,White,V1O1
151,0.0,White,V1O1
152,1.0,White,V1O1
