Episode,Performance,Distractor,Correct
0,0.0,White,V5O1
1,1.0,White,V5O1
2,1.0,White,V5O1
3,0.0,White,V5O1
4,1.0,White,V5O1
5,0.09090909090909091,White,V5O1
6,1.0,White,V5O1
7,1.0,White,V5O1
8,1.0,White,V5O1
9,1.0,White,V5O1
10,1.0,White,V5O1
11,0.0,White,V5O1
12,0.22849083215796898,White,V5O1
13,0.0,White,V5O1
14,1.0,White,V5O1
15,0.2602739726027397,White,V5O1
16,0.0,White,V5O1
17,0.18867924528301888,White,V5O1
18,0.21887287024901703,White,V5O1
19,1.0,White,V5O1
20,1.0,White,V5O1
21,0.016885553470919325,White,V5O1
22,0.7479564032697548,White,V5O1
23,0.25,White,V5O1
24,0.5860805860805861,White,V5O1
25,0.47042640990371387,White,V5O1
26,0.0,White,V5O1
27,0.5021459227467812,White,V5O1
28,0.8375558867362146,White,V5O1
29,0.3952569169960474,White,V5O1
30,0.7551020408163265,White,V5O1
31,0.0,White,V5O1
32,0.21072319201995013,White,V5O1
33,0.0,White,V5O1
34,0.0,White,V5O1
35,0.0,White,V5O1
36,1.0,White,V5O1
37,1.0,White,V5O1
38,0.0,White,V5O1
39,1.0,White,V5O1
40,1.0,White,V5O1
41,0.0,White,V5O1
42,0.0,White,V5O1
43,0.0,White,V5O1
44,0.0,White,V5O1
45,0.0,White,V5O1
46,0.0,White,V5O1
47,0.0,White,V5O1
48,0.0,White,V5O1
49,1.0,White,V5O1
50,0.5,White,V5O1
51,1.0,White,V5O1
52,1.0,White,V5O1
53,1.0,White,V5O1
54,0.0,White,V5O1
55,0.0,White,V5O1
56,0.0,White,V5O1
57,0.0,White,V5O1
58,0.0,White,V5O1
59,0.0,White,V5O1
60,1.0,White,V5O1
61,0.644122383252818,White,V5O1
62,0.0,White,V5O1
63,0.0,White,V5O1
64,1.0,White,V5O1
65,0.19476268412438624,White,V5O1
66,0.5673249551166966,White,V5O1
67,1.0,White,V5O1
68,1.0,White,V5O1
69,1.0,White,V5O1
70,1.0,White,V5O1
71,1.0,White,V5O1
72,1.0,White,V5O1
73,0.4331864904552129,White,V5O1
74,0.0,White,V5O1
75,0.0,White,V5O1
76,1.0,White,V5O1
77,1.0,White,V5O1
78,1.0,White,V5O1
79,1.0,White,V5O1
80,0.0,White,V5O1
81,1.0,White,V5O1
82,0.011093502377179081,White,V5O1
83,0.0,White,V5O1
84,1.0,White,V5O1
85,1.0,White,V5O1
86,1.0,White,V5O1
87,0.0,White,V5O1
88,0.0,White,V5O1
89,0.0,White,V5O1
90,1.0,White,V5O1
91,0.0,White,V5O1
92,0.0,White,V5O1
93,1.0,White,V5O1
94,1.0,White,V5O1
95,0.0,White,V5O1
96,1.0,White,V5O1
97,0.0,White,V5O1
98,0.955177743431221,White,V5O1
99,0.0,White,V5O1
100,1.0,White,V5O1
101,0.0,White,V5O1
102,0.0,White,V5O1
103,0.21825396825396826,White,V5O1
104,1.0,White,V5O1
105,0.0,White,V5O1
106,0.0,White,V5O1
107,0.0,White,V5O1
108,0.0,White,V5O1
109,0.0,White,V5O1
110,1.0,White,V5O1
111,0.0,White,V5O1
112,1.0,White,V5O1
113,1.0,White,V5O1
114,0.0,White,V5O1
115,0.0,White,V5O1
116,0.0,White,V5O1
117,1.0,White,V5O1
118,0.0,White,V5O1
119,1.0,White,V5O1
120,1.0,White,V5O1
121,0.0,White,V5O1
122,1.0,White,V5O1
123,0.0,White,V5O1
124,0.0,White,V5O1
125,0.0,White,V5O1
126,1.0,White,V5O1
127,0.0,White,V5O1
128,1.0,White,V5O1
129,0.0,White,V5O1
130,1.0,White,V5O1
131,0.0,White,V5O1
132,0.0,White,V5O1
133,0.0,White,V5O1
134,0.0,White,V5O1
135,0.0,White,V5O1
136,0.0,White,V5O1
137,0.0,White,V5O1
138,1.0,White,V5O1
139,0.0,White,V5O1
140,1.0,White,V5O1
141,1.0,White,V5O1
142,1.0,White,V5O1
143,0.0,White,V5O1
144,1.0,White,V5O1
145,0.0,White,V5O1
146,0.0,White,V5O1
147,0.0,White,V5O1
148,0.0,White,V5O1
149,1.0,White,V5O1
150,1.0,White,V5O1
151,0.0,White,V5O1
152,1.0,White,V5O1
153,0.0,White,V5O1
154,1.0,White,V5O1
155,0.0,White,V5O1
156,1.0,White,V5O1
157,0.0,White,V5O1
158,1.0,White,V5O1
159,1.0,White,V5O1
160,1.0,White,V5O1
161,0.0,White,V5O1
162,0.1273176761433869,White,V5O1
163,1.0,White,V5O1
164,0.0,White,V5O1
165,0.0,White,V5O1
166,1.0,White,V5O1
