Episode,Performance,Distractor,Correct
0,0.0,White,V1O2
1,0.0,White,V1O2
2,0.4634146341463415,White,V1O2
3,0.9933628318584071,White,V1O2
4,0.0,White,V1O2
5,0.0,White,V1O2
6,0.0,White,V1O2
7,0.5,White,V1O2
8,0.0,White,V1O2
9,1.0,White,V1O2
10,1.0,White,V1O2
11,0.09476309226932668,White,V1O2
12,0.10106382978723404,White,V1O2
13,1.0,White,V1O2
14,0.2511278195488722,White,V1O2
15,0.9451219512195121,White,V1O2
16,0.7165217391304348,White,V1O2
17,0.50997150997151,White,V1O2
18,0.5598227474150664,White,V1O2
19,0.2898032200357782,White,V1O2
20,0.5734870317002881,White,V1O2
21,0.44493392070484583,White,V1O2
22,0.2637517630465444,White,V1O2
23,0.9102296450939458,White,V1O2
24,0.9886201991465149,White,V1O2
25,0.6827242524916943,White,V1O2
26,0.560625814863103,White,V1O2
27,0.0,White,V1O2
28,0.0,White,V1O2
29,1.0,White,V1O2
30,0.4320203303684879,White,V1O2
31,1.0,White,V1O2
32,0.0,White,V1O2
33,0.5702917771883289,White,V1O2
34,0.5554123711340206,White,V1O2
35,0.42712842712842713,White,V1O2
36,0.3865110246433204,White,V1O2
37,0.24924012158054712,White,V1O2
38,0.392,White,V1O2
39,0.9510791366906475,White,V1O2
40,0.6846965699208444,White,V1O2
41,0.8191489361702128,White,V1O2
42,0.4349442379182156,White,V1O2
43,1.0,White,V1O2
44,1.0,White,V1O2
45,1.0,White,V1O2
46,0.0,White,V1O2
47,1.0,White,V1O2
48,1.0,White,V1O2
49,0.0,White,V1O2
50,0.0,White,V1O2
51,0.0,White,V1O2
52,1.0,White,V1O2
53,0.5526960784313726,White,V1O2
54,0.2704326923076923,White,V1O2
55,0.0,White,V1O2
56,0.0,White,V1O2
57,0.8676923076923077,White,V1O2
58,0.5428571428571428,White,V1O2
59,0.09013398294762484,White,V1O2
60,0.5464231354642314,White,V1O2
61,0.38768115942028986,White,V1O2
62,0.417910447761194,White,V1O2
63,0.2503097893432466,White,V1O2
64,0.3078848560700876,White,V1O2
65,1.0,White,V1O2
66,1.0,White,V1O2
67,0.2682926829268293,White,V1O2
68,0.2641975308641975,White,V1O2
69,0.7870813397129187,White,V1O2
70,0.05308641975308642,White,V1O2
71,0.0,White,V1O2
72,1.0,White,V1O2
73,0.0,White,V1O2
74,1.0,White,V1O2
75,0.10315186246418338,White,V1O2
76,0.0,White,V1O2
77,1.0,White,V1O2
78,0.0,White,V1O2
79,1.0,White,V1O2
80,0.0,White,V1O2
81,1.0,White,V1O2
82,0.0,White,V1O2
83,0.0,White,V1O2
84,0.0,White,V1O2
85,0.0,White,V1O2
86,1.0,White,V1O2
87,1.0,White,V1O2
88,0.0,White,V1O2
89,0.0,White,V1O2
90,1.0,White,V1O2
91,1.0,White,V1O2
92,0.0,White,V1O2
93,1.0,White,V1O2
94,0.0,White,V1O2
95,1.0,White,V1O2
96,0.0,White,V1O2
97,1.0,White,V1O2
98,1.0,White,V1O2
99,1.0,White,V1O2
100,0.0,White,V1O2
101,0.0,White,V1O2
102,0.0,White,V1O2
103,1.0,White,V1O2
104,0.0,White,V1O2
105,0.0,White,V1O2
106,0.0,White,V1O2
107,0.0,White,V1O2
108,0.0,White,V1O2
109,0.0,White,V1O2
110,1.0,White,V1O2
111,1.0,White,V1O2
112,1.0,White,V1O2
113,1.0,White,V1O2
114,1.0,White,V1O2
115,0.0,White,V1O2
116,1.0,White,V1O2
117,1.0,White,V1O2
118,0.0,White,V1O2
119,1.0,White,V1O2
120,0.0,White,V1O2
121,0.0,White,V1O2
122,1.0,White,V1O2
123,1.0,White,V1O2
124,0.0,White,V1O2
125,1.0,White,V1O2
126,1.0,White,V1O2
127,1.0,White,V1O2
128,1.0,White,V1O2
129,1.0,White,V1O2
130,1.0,White,V1O2
131,0.0,White,V1O2
132,0.0,White,V1O2
133,0.0,White,V1O2
134,1.0,White,V1O2
135,0.0,White,V1O2
136,0.0,White,V1O2
137,0.0,White,V1O2
138,1.0,White,V1O2
139,1.0,White,V1O2
140,0.0,White,V1O2
141,1.0,White,V1O2
142,0.0,White,V1O2
143,0.0,White,V1O2
144,1.0,White,V1O2
145,1.0,White,V1O2
146,0.0,White,V1O2
147,1.0,White,V1O2
148,0.0,White,V1O2
149,1.0,White,V1O2
150,0.0,White,V1O2
151,0.0,White,V1O2
152,1.0,White,V1O2
153,0.0,White,V1O2
154,1.0,White,V1O2
155,1.0,White,V1O2
156,0.0,White,V1O2
157,1.0,White,V1O2
158,1.0,White,V1O2
159,0.0,White,V1O2
160,0.0,White,V1O2
161,0.0,White,V1O2
162,1.0,White,V1O2
163,0.0,White,V1O2
164,0.0,White,V1O2
165,1.0,White,V1O2
166,0.0,White,V1O2
167,1.0,White,V1O2
168,0.0,White,V1O2
169,0.0,White,V1O2
170,0.0,White,V1O2
171,1.0,White,V1O2
172,0.0,White,V1O2
173,0.0,White,V1O2
174,1.0,White,V1O2
175,0.0,White,V1O2
176,1.0,White,V1O2
177,1.0,White,V1O2
178,0.0,White,V1O2
179,0.0,White,V1O2
180,1.0,White,V1O2
181,0.0,White,V1O2
182,1.0,White,V1O2
183,0.0,White,V1O2
184,0.0,White,V1O2
185,1.0,White,V1O2
186,0.0,White,V1O2
187,0.0,White,V1O2
188,1.0,White,V1O2
189,1.0,White,V1O2
190,0.0,White,V1O2
191,1.0,White,V1O2
192,0.0,White,V1O2
193,0.0,White,V1O2
194,1.0,White,V1O2
195,1.0,White,V1O2
196,0.0,White,V1O2
197,0.0,White,V1O2
198,0.0,White,V1O2
199,0.0,White,V1O2
200,0.0,White,V1O2
201,1.0,White,V1O2
202,0.0,White,V1O2
203,1.0,White,V1O2
204,1.0,White,V1O2
205,0.0,White,V1O2
206,0.0,White,V1O2
207,1.0,White,V1O2
208,1.0,White,V1O2
209,0.0,White,V1O2
210,0.0,White,V1O2
211,1.0,White,V1O2
212,1.0,White,V1O2
213,0.0,White,V1O2
214,1.0,White,V1O2
215,0.0,White,V1O2
216,1.0,White,V1O2
217,1.0,White,V1O2
218,1.0,White,V1O2
219,0.0,White,V1O2
220,0.0,White,V1O2
221,0.0,White,V1O2
222,0.0,White,V1O2
223,0.0,White,V1O2
224,0.0,White,V1O2
225,1.0,White,V1O2
226,1.0,White,V1O2
227,1.0,White,V1O2
228,0.0,White,V1O2
229,0.0,White,V1O2
230,1.0,White,V1O2
231,1.0,White,V1O2
232,0.0,White,V1O2
233,1.0,White,V1O2
234,0.0,White,V1O2
235,1.0,White,V1O2
236,1.0,White,V1O2
237,1.0,White,V1O2
238,0.0,White,V1O2
239,0.0,White,V1O2
240,0.0,White,V1O2
241,1.0,White,V1O2
242,1.0,White,V1O2
243,1.0,White,V1O2
244,0.0,White,V1O2
245,0.0,White,V1O2
246,0.0,White,V1O2
247,1.0,White,V1O2
248,0.0,White,V1O2
249,1.0,White,V1O2
250,0.0,White,V1O2
251,1.0,White,V1O2
252,0.0,White,V1O2
253,1.0,White,V1O2
254,0.0,White,V1O2
255,0.0,White,V1O2
256,1.0,White,V1O2
257,0.0,White,V1O2
258,1.0,White,V1O2
259,1.0,White,V1O2
260,0.0,White,V1O2
261,0.0,White,V1O2
262,0.0,White,V1O2
263,1.0,White,V1O2
264,0.0,White,V1O2
265,1.0,White,V1O2
266,1.0,White,V1O2
267,0.0,White,V1O2
268,0.0,White,V1O2
269,0.0,White,V1O2
270,1.0,White,V1O2
271,1.0,White,V1O2
272,1.0,White,V1O2
273,0.0,White,V1O2
274,1.0,White,V1O2
275,0.0,White,V1O2
276,0.0,White,V1O2
277,0.0,White,V1O2
278,0.0,White,V1O2
279,1.0,White,V1O2
280,1.0,White,V1O2
281,1.0,White,V1O2
282,0.0,White,V1O2
283,0.0,White,V1O2
284,1.0,White,V1O2
285,0.0,White,V1O2
286,1.0,White,V1O2
287,1.0,White,V1O2
288,0.0,White,V1O2
289,0.0,White,V1O2
290,0.0,White,V1O2
291,1.0,White,V1O2
292,1.0,White,V1O2
293,1.0,White,V1O2
294,0.0,White,V1O2
295,0.0,White,V1O2
296,1.0,White,V1O2
297,1.0,White,V1O2
298,1.0,White,V1O2
299,0.0,White,V1O2
300,1.0,White,V1O2
301,1.0,White,V1O2
302,1.0,White,V1O2
303,0.11465721040189125,White,V1O2
304,1.0,White,V1O2
305,1.0,White,V1O2
306,1.0,White,V1O2
307,1.0,White,V1O2
308,0.0,White,V1O2
309,0.0,White,V1O2
310,0.0,White,V1O2
311,0.0,White,V1O2
312,1.0,White,V1O2
313,1.0,White,V1O2
314,0.0,White,V1O2
315,0.0,White,V1O2
316,0.0,White,V1O2
317,0.0,White,V1O2
318,0.0,White,V1O2
319,1.0,White,V1O2
320,0.0,White,V1O2
321,0.0,White,V1O2
322,0.0,White,V1O2
323,0.0,White,V1O2
324,0.0,White,V1O2
325,1.0,White,V1O2
326,0.0,White,V1O2
327,1.0,White,V1O2
328,0.0,White,V1O2
329,1.0,White,V1O2
330,1.0,White,V1O2
331,0.0,White,V1O2
332,1.0,White,V1O2
333,0.0,White,V1O2
334,0.0,White,V1O2
335,1.0,White,V1O2
336,0.0,White,V1O2
337,0.0,White,V1O2
338,0.0,White,V1O2
339,1.0,White,V1O2
340,1.0,White,V1O2
341,1.0,White,V1O2
342,0.0,White,V1O2
343,1.0,White,V1O2
344,0.0,White,V1O2
345,1.0,White,V1O2
346,0.0,White,V1O2
347,0.0,White,V1O2
348,0.0,White,V1O2
349,1.0,White,V1O2
350,0.0,White,V1O2
351,0.0,White,V1O2
352,1.0,White,V1O2
353,1.0,White,V1O2
354,0.0,White,V1O2
355,1.0,White,V1O2
356,0.0,White,V1O2
357,1.0,White,V1O2
358,1.0,White,V1O2
359,1.0,White,V1O2
360,1.0,White,V1O2
361,1.0,White,V1O2
362,1.0,White,V1O2
363,0.0,White,V1O2
364,0.0,White,V1O2
365,0.0,White,V1O2
366,0.0,White,V1O2
367,1.0,White,V1O2
368,1.0,White,V1O2
369,1.0,White,V1O2
370,0.0,White,V1O2
371,0.0,White,V1O2
372,0.0,White,V1O2
373,0.0,White,V1O2
374,1.0,White,V1O2
375,0.0,White,V1O2
376,1.0,White,V1O2
377,1.0,White,V1O2
378,0.0,White,V1O2
379,1.0,White,V1O2
380,0.0,White,V1O2
381,0.0,White,V1O2
382,0.0,White,V1O2
383,1.0,White,V1O2
384,0.0,White,V1O2
385,0.0,White,V1O2
386,1.0,White,V1O2
387,1.0,White,V1O2
388,0.0,White,V1O2
389,0.0,White,V1O2
390,0.0,White,V1O2
391,1.0,White,V1O2
392,0.0,White,V1O2
393,0.0,White,V1O2
394,1.0,White,V1O2
395,1.0,White,V1O2
396,0.0,White,V1O2
397,1.0,White,V1O2
398,0.0,White,V1O2
399,0.0,White,V1O2
400,1.0,White,V1O2
401,0.0,White,V1O2
402,0.0,White,V1O2
403,0.0,White,V1O2
404,0.0,White,V1O2
405,0.0,White,V1O2
406,0.0,White,V1O2
407,0.0,White,V1O2
408,0.0,White,V1O2
409,0.0,White,V1O2
410,0.0,White,V1O2
411,1.0,White,V1O2
412,1.0,White,V1O2
413,0.0,White,V1O2
414,0.007100591715976331,White,V1O2
415,1.0,White,V1O2
416,0.0,White,V1O2
417,0.0,White,V1O2
418,1.0,White,V1O2
419,1.0,White,V1O2
420,1.0,White,V1O2
421,0.0,White,V1O2
422,1.0,White,V1O2
423,0.0,White,V1O2
424,1.0,White,V1O2
425,0.0,White,V1O2
426,1.0,White,V1O2
427,1.0,White,V1O2
428,0.0,White,V1O2
429,1.0,White,V1O2
430,1.0,White,V1O2
431,1.0,White,V1O2
432,1.0,White,V1O2
433,0.0,White,V1O2
434,1.0,White,V1O2
435,1.0,White,V1O2
436,0.0,White,V1O2
437,0.0,White,V1O2
438,0.0,White,V1O2
439,0.0,White,V1O2
440,0.0,White,V1O2
441,0.0,White,V1O2
442,1.0,White,V1O2
443,1.0,White,V1O2
444,0.0,White,V1O2
445,1.0,White,V1O2
446,1.0,White,V1O2
447,0.0,White,V1O2
448,1.0,White,V1O2
449,1.0,White,V1O2
450,1.0,White,V1O2
451,1.0,White,V1O2
452,0.0,White,V1O2
453,1.0,White,V1O2
454,1.0,White,V1O2
455,1.0,White,V1O2
456,0.0,White,V1O2
457,1.0,White,V1O2
458,0.0,White,V1O2
459,1.0,White,V1O2
460,0.0,White,V1O2
461,1.0,White,V1O2
462,1.0,White,V1O2
463,1.0,White,V1O2
464,1.0,White,V1O2
465,1.0,White,V1O2
466,1.0,White,V1O2
467,1.0,White,V1O2
468,0.0,White,V1O2
469,0.0,White,V1O2
470,1.0,White,V1O2
471,1.0,White,V1O2
472,1.0,White,V1O2
473,1.0,White,V1O2
474,1.0,White,V1O2
475,0.0,White,V1O2
476,1.0,White,V1O2
477,0.0,White,V1O2
478,1.0,White,V1O2
479,0.0,White,V1O2
480,0.0,White,V1O2
481,1.0,White,V1O2
482,1.0,White,V1O2
483,1.0,White,V1O2
484,1.0,White,V1O2
485,0.0,White,V1O2
486,1.0,White,V1O2
487,0.0,White,V1O2
488,0.0,White,V1O2
489,0.0,White,V1O2
490,1.0,White,V1O2
491,1.0,White,V1O2
492,0.0,White,V1O2
493,1.0,White,V1O2
494,1.0,White,V1O2
495,1.0,White,V1O2
496,0.0,White,V1O2
