Episode,Performance,Distractor,Correct
0,0.0,White,V5O2
1,1.0,White,V5O2
2,1.0,White,V5O2
3,0.0,White,V5O2
4,0.3,White,V5O2
5,0.109375,White,V5O2
6,1.0,White,V5O2
7,0.5628318584070796,White,V5O2
8,1.0,White,V5O2
9,1.0,White,V5O2
10,1.0,White,V5O2
11,1.0,White,V5O2
12,0.5038961038961038,White,V5O2
13,0.8418491484184915,White,V5O2
14,1.0,White,V5O2
15,1.0,White,V5O2
16,0.7411971830985915,White,V5O2
17,1.0,White,V5O2
18,0.39148073022312374,White,V5O2
19,0.7340116279069767,White,V5O2
20,1.0,White,V5O2
21,1.0,White,V5O2
22,1.0,White,V5O2
23,1.0,White,V5O2
24,0.0,White,V5O2
25,1.0,White,V5O2
26,1.0,White,V5O2
27,0.22053231939163498,White,V5O2
28,0.0,White,V5O2
29,1.0,White,V5O2
30,0.24764468371467024,White,V5O2
31,0.1518624641833811,White,V5O2
32,0.6885026737967914,White,V5O2
33,0.31689088191330345,White,V5O2
34,0.27915632754342434,White,V5O2
35,0.0,White,V5O2
36,0.0,White,V5O2
37,0.0,White,V5O2
38,0.0,White,V5O2
39,0.7948369565217391,White,V5O2
40,0.5040916530278232,White,V5O2
41,1.0,White,V5O2
42,0.025423728813559324,White,V5O2
43,1.0,White,V5O2
44,0.0,White,V5O2
45,0.0,White,V5O2
46,0.0,White,V5O2
47,1.0,White,V5O2
48,0.0,White,V5O2
49,1.0,White,V5O2
50,0.0,White,V5O2
51,1.0,White,V5O2
52,1.0,White,V5O2
53,0.0,White,V5O2
54,0.5,White,V5O2
55,1.0,White,V5O2
56,0.0,White,V5O2
57,1.0,White,V5O2
58,1.0,White,V5O2
59,1.0,White,V5O2
60,1.0,White,V5O2
61,1.0,White,V5O2
62,0.0,White,V5O2
63,0.0,White,V5O2
64,1.0,White,V5O2
65,1.0,White,V5O2
66,0.0,White,V5O2
67,0.0,White,V5O2
68,1.0,White,V5O2
69,1.0,White,V5O2
70,0.0,White,V5O2
71,1.0,White,V5O2
72,0.0,White,V5O2
73,0.0,White,V5O2
74,1.0,White,V5O2
75,0.0,White,V5O2
76,1.0,White,V5O2
77,1.0,White,V5O2
78,1.0,White,V5O2
79,1.0,White,V5O2
80,0.0,White,V5O2
81,1.0,White,V5O2
82,1.0,White,V5O2
83,0.0,White,V5O2
84,1.0,White,V5O2
85,0.0,White,V5O2
86,0.0,White,V5O2
87,1.0,White,V5O2
88,0.0,White,V5O2
89,0.0,White,V5O2
90,1.0,White,V5O2
91,0.0,White,V5O2
92,0.0,White,V5O2
93,1.0,White,V5O2
94,1.0,White,V5O2
95,0.0,White,V5O2
96,1.0,White,V5O2
97,0.0,White,V5O2
98,0.0,White,V5O2
99,1.0,White,V5O2
100,0.0,White,V5O2
101,1.0,White,V5O2
102,0.0,White,V5O2
103,1.0,White,V5O2
104,1.0,White,V5O2
105,1.0,White,V5O2
106,1.0,White,V5O2
107,0.0,White,V5O2
108,0.0,White,V5O2
109,0.0,White,V5O2
110,0.0,White,V5O2
111,0.0,White,V5O2
112,1.0,White,V5O2
113,0.0,White,V5O2
114,1.0,White,V5O2
115,1.0,White,V5O2
116,1.0,White,V5O2
117,1.0,White,V5O2
118,1.0,White,V5O2
119,0.0,White,V5O2
120,1.0,White,V5O2
121,0.0,White,V5O2
122,0.0,White,V5O2
123,0.0,White,V5O2
124,0.0,White,V5O2
125,0.0,White,V5O2
126,1.0,White,V5O2
127,1.0,White,V5O2
128,1.0,White,V5O2
129,0.0,White,V5O2
130,1.0,White,V5O2
131,0.0,White,V5O2
132,1.0,White,V5O2
133,0.0,White,V5O2
134,1.0,White,V5O2
135,0.0,White,V5O2
136,1.0,White,V5O2
137,0.0,White,V5O2
138,0.0,White,V5O2
139,0.0,White,V5O2
140,0.0,White,V5O2
141,0.0,White,V5O2
142,0.0,White,V5O2
143,0.0,White,V5O2
144,0.0,White,V5O2
145,1.0,White,V5O2
146,1.0,White,V5O2
147,1.0,White,V5O2
148,0.0,White,V5O2
149,1.0,White,V5O2
150,1.0,White,V5O2
151,0.0,White,V5O2
152,1.0,White,V5O2
153,1.0,White,V5O2
154,1.0,White,V5O2
155,0.0,White,V5O2
156,0.0,White,V5O2
157,1.0,White,V5O2
158,0.0,White,V5O2
159,1.0,White,V5O2
160,0.0,White,V5O2
161,1.0,White,V5O2
162,0.0,White,V5O2
163,1.0,White,V5O2
164,1.0,White,V5O2
165,0.0,White,V5O2
166,1.0,White,V5O2
167,1.0,White,V5O2
168,1.0,White,V5O2
169,0.0,White,V5O2
170,1.0,White,V5O2
171,0.0,White,V5O2
172,0.0,White,V5O2
173,1.0,White,V5O2
174,1.0,White,V5O2
175,1.0,White,V5O2
176,1.0,White,V5O2
