Episode,Performance,Distractor,Correct
0,0.0,White,V1O1
1,0.0,White,V1O1
2,0.0,White,V1O1
3,0.0,White,V1O1
4,0.774281805745554,White,V1O1
5,0.0,White,V1O1
6,0.0,White,V1O1
7,0.9279279279279279,White,V1O1
8,0.9922879177377892,White,V1O1
9,0.0,White,V1O1
10,0.0,White,V1O1
11,1.0,White,V1O1
12,1.0,White,V1O1
13,0.8194444444444444,White,V1O1
14,0.0,White,V1O1
15,0.0,White,V1O1
16,1.0,White,V1O1
17,0.0,White,V1O1
18,0.004291845493562232,White,V1O1
19,0.0,White,V1O1
20,1.0,White,V1O1
21,1.0,White,V1O1
22,0.0,White,V1O1
23,1.0,White,V1O1
24,0.0,White,V1O1
25,1.0,White,V1O1
26,0.0,White,V1O1
27,0.0,White,V1O1
28,0.0,White,V1O1
29,1.0,White,V1O1
30,0.795774647887324,White,V1O1
31,1.0,White,V1O1
32,0.5,White,V1O1
33,0.0,White,V1O1
34,1.0,White,V1O1
35,0.0,White,V1O1
36,0.0,White,V1O1
37,0.0,White,V1O1
38,1.0,White,V1O1
39,1.0,White,V1O1
40,0.0,White,V1O1
41,1.0,White,V1O1
42,0.9965694682675815,White,V1O1
43,0.0,White,V1O1
44,0.0,White,V1O1
45,0.0,White,V1O1
46,0.0,White,V1O1
47,0.9059633027522935,White,V1O1
48,0.0,White,V1O1
49,0.5,White,V1O1
50,0.8141592920353983,White,V1O1
51,0.0,White,V1O1
52,0.0,White,V1O1
53,0.1803921568627451,White,V1O1
54,0.0,White,V1O1
55,1.0,White,V1O1
56,0.48268398268398266,White,V1O1
57,0.0,White,V1O1
58,0.0,White,V1O1
59,0.0,White,V1O1
60,0.0,White,V1O1
61,1.0,White,V1O1
62,0.0,White,V1O1
63,0.0,White,V1O1
64,0.0,White,V1O1
65,0.7222222222222222,White,V1O1
66,0.8975069252077562,White,V1O1
67,0.0,White,V1O1
68,0.0,White,V1O1
69,0.03233256351039261,White,V1O1
70,1.0,White,V1O1
71,1.0,White,V1O1
72,0.5,White,V1O1
73,0.0,White,V1O1
74,1.0,White,V1O1
75,1.0,White,V1O1
76,0.0,White,V1O1
77,1.0,White,V1O1
78,0.625,White,V1O1
79,0.5,White,V1O1
80,0.6417112299465241,White,V1O1
81,0.0,White,V1O1
82,0.3873015873015873,White,V1O1
83,1.0,White,V1O1
84,0.0,White,V1O1
85,0.0,White,V1O1
86,0.0,White,V1O1
87,0.5,White,V1O1
88,1.0,White,V1O1
89,0.0,White,V1O1
90,0.0,White,V1O1
91,0.0,White,V1O1
