Episode,Performance,Distractor,Correct
0,0.5,White,V5O1
1,1.0,White,V5O1
2,0.23267326732673269,White,V5O1
3,0.0,White,V5O1
4,1.0,White,V5O1
5,0.5913978494623656,White,V5O1
6,1.0,White,V5O1
7,0.0,White,V5O1
8,1.0,White,V5O1
9,1.0,White,V5O1
10,0.0,White,V5O1
11,0.0,White,V5O1
12,0.5,White,V5O1
13,0.0,White,V5O1
14,0.0,White,V5O1
15,0.0,White,V5O1
16,0.24210526315789474,White,V5O1
17,1.0,White,V5O1
18,0.0,White,V5O1
19,0.0,White,V5O1
20,1.0,White,V5O1
21,0.021929824561403508,White,V5O1
22,0.5,White,V5O1
23,0.0,White,V5O1
24,0.0,White,V5O1
25,0.0,White,V5O1
26,1.0,White,V5O1
27,1.0,White,V5O1
28,0.0,White,V5O1
29,1.0,White,V5O1
30,1.0,White,V5O1
31,0.5,White,V5O1
32,0.0,White,V5O1
33,0.21641791044776118,White,V5O1
34,0.0,White,V5O1
35,0.0,White,V5O1
36,0.0,White,V5O1
37,0.0,White,V5O1
38,1.0,White,V5O1
39,0.0,White,V5O1
40,1.0,White,V5O1
41,0.0,White,V5O1
42,1.0,White,V5O1
43,0.0,White,V5O1
44,0.0,White,V5O1
45,0.9004329004329005,White,V5O1
46,0.096045197740113,White,V5O1
47,0.0,White,V5O1
48,0.0,White,V5O1
49,0.0,White,V5O1
50,0.0,White,V5O1
51,1.0,White,V5O1
52,1.0,White,V5O1
53,0.0,White,V5O1
54,0.5045513654096229,White,V5O1
55,0.6973886328725039,White,V5O1
56,0.0,White,V5O1
57,0.47176913425345046,White,V5O1
58,1.0,White,V5O1
59,1.0,White,V5O1
60,0.8265582655826558,White,V5O1
61,0.13604240282685512,White,V5O1
62,1.0,White,V5O1
63,1.0,White,V5O1
64,1.0,White,V5O1
65,0.0,White,V5O1
66,0.6525573192239859,White,V5O1
67,0.5491009681881052,White,V5O1
68,0.18013468013468015,White,V5O1
69,0.43125,White,V5O1
70,0.7662517289073306,White,V5O1
71,1.0,White,V5O1
72,0.0,White,V5O1
73,0.9432013769363167,White,V5O1
74,0.44653349001175086,White,V5O1
75,0.0,White,V5O1
76,0.0,White,V5O1
77,1.0,White,V5O1
78,1.0,White,V5O1
79,0.7559241706161137,White,V5O1
80,0.7056694813027744,White,V5O1
81,0.6979542719614922,White,V5O1
82,0.6253041362530414,White,V5O1
83,0.7933884297520661,White,V5O1
84,0.7792553191489362,White,V5O1
85,0.711038961038961,White,V5O1
86,0.5408415841584159,White,V5O1
87,0.4003189792663477,White,V5O1
88,0.35235378031383735,White,V5O1
89,0.8849028400597907,White,V5O1
90,0.5365269461077844,White,V5O1
91,0.3069306930693069,White,V5O1
92,0.31824611032531824,White,V5O1
93,1.0,White,V5O1
94,0.6868537666174298,White,V5O1
95,0.4190231362467866,White,V5O1
