Episode,Performance,Distractor,Correct
0,0.0,White,V1O2
1,0.0,White,V1O2
2,0.4024390243902439,White,V1O2
3,1.0,White,V1O2
4,0.0,White,V1O2
5,1.0,White,V1O2
6,0.0,White,V1O2
7,0.0,White,V1O2
8,0.6779026217228464,White,V1O2
9,1.0,White,V1O2
10,0.0,White,V1O2
11,1.0,White,V1O2
12,0.0,White,V1O2
13,0.0,White,V1O2
14,1.0,White,V1O2
15,1.0,White,V1O2
16,1.0,White,V1O2
17,0.0,White,V1O2
18,0.0,White,V1O2
19,0.0,White,V1O2
20,0.0,White,V1O2
21,0.2981651376146789,White,V1O2
22,0.0,White,V1O2
23,1.0,White,V1O2
24,1.0,White,V1O2
25,0.5,White,V1O2
26,0.0,White,V1O2
27,0.0,White,V1O2
28,1.0,White,V1O2
29,0.9974554707379135,White,V1O2
30,0.0,White,V1O2
31,0.0,White,V1O2
32,0.7695749440715883,White,V1O2
33,0.820580474934037,White,V1O2
34,1.0,White,V1O2
35,0.17543859649122806,White,V1O2
36,0.44510385756676557,White,V1O2
37,0.0,White,V1O2
38,0.0,White,V1O2
39,1.0,White,V1O2
40,1.0,White,V1O2
41,0.0,White,V1O2
42,0.9980842911877394,White,V1O2
43,0.0,White,V1O2
44,0.40893470790378006,White,V1O2
45,0.0,White,V1O2
46,0.44947735191637633,White,V1O2
47,0.5584615384615385,White,V1O2
48,0.0,White,V1O2
49,0.297427652733119,White,V1O2
50,0.0,White,V1O2
51,1.0,White,V1O2
52,0.0,White,V1O2
53,1.0,White,V1O2
54,0.46153846153846156,White,V1O2
55,1.0,White,V1O2
56,1.0,White,V1O2
57,0.3509090909090909,White,V1O2
58,1.0,White,V1O2
59,0.0,White,V1O2
60,0.0,White,V1O2
61,1.0,White,V1O2
62,0.0,White,V1O2
63,1.0,White,V1O2
64,1.0,White,V1O2
65,0.5,White,V1O2
66,1.0,White,V1O2
67,1.0,White,V1O2
68,0.0,White,V1O2
69,1.0,White,V1O2
70,0.032432432432432434,White,V1O2
71,0.0,White,V1O2
72,1.0,White,V1O2
73,0.8,White,V1O2
74,1.0,White,V1O2
75,0.46835443037974683,White,V1O2
76,1.0,White,V1O2
77,0.0,White,V1O2
78,1.0,White,V1O2
79,0.9322916666666666,White,V1O2
80,0.0,White,V1O2
81,1.0,White,V1O2
82,0.5213903743315508,White,V1O2
83,0.6785714285714286,White,V1O2
84,0.0,White,V1O2
85,0.950920245398773,White,V1O2
86,1.0,White,V1O2
87,0.0,White,V1O2
88,0.0,White,V1O2
89,0.8731836195508587,White,V1O2
90,0.7319884726224783,White,V1O2
91,0.5328467153284672,White,V1O2
92,0.0,White,V1O2
93,1.0,White,V1O2
94,0.11895910780669144,White,V1O2
95,1.0,White,V1O2
96,0.0,White,V1O2
97,0.0,White,V1O2
98,1.0,White,V1O2
99,0.47634069400630913,White,V1O2
100,0.0,White,V1O2
101,0.06699751861042183,White,V1O2
102,0.0,White,V1O2
103,0.3137254901960784,White,V1O2
104,0.5280728376327769,White,V1O2
105,0.7016491754122939,White,V1O2
106,1.0,White,V1O2
107,0.0,White,V1O2
108,0.5772230889235569,White,V1O2
109,0.2769423558897243,White,V1O2
110,0.48721071863581,White,V1O2
111,0.33499377334993774,White,V1O2
112,1.0,White,V1O2
113,0.7403314917127072,White,V1O2
114,0.21282798833819241,White,V1O2
115,0.8942436412315931,White,V1O2
116,0.5963777490297542,White,V1O2
117,1.0,White,V1O2
118,0.4194053208137715,White,V1O2
119,1.0,White,V1O2
120,0.0,White,V1O2
121,0.0,White,V1O2
122,1.0,White,V1O2
123,1.0,White,V1O2
124,0.7728494623655914,White,V1O2
125,1.0,White,V1O2
126,1.0,White,V1O2
127,1.0,White,V1O2
128,0.30297029702970296,White,V1O2
129,1.0,White,V1O2
130,1.0,White,V1O2
131,1.0,White,V1O2
132,1.0,White,V1O2
133,1.0,White,V1O2
134,0.0,White,V1O2
135,0.0,White,V1O2
136,0.0,White,V1O2
137,1.0,White,V1O2
138,0.055031446540880505,White,V1O2
139,1.0,White,V1O2
140,0.7053824362606232,White,V1O2
141,1.0,White,V1O2
142,0.0,White,V1O2
143,0.30293159609120524,White,V1O2
144,0.0,White,V1O2
145,1.0,White,V1O2
146,0.5994397759103641,White,V1O2
147,1.0,White,V1O2
148,0.0,White,V1O2
149,1.0,White,V1O2
150,0.0,White,V1O2
151,0.0,White,V1O2
152,1.0,White,V1O2
153,0.0,White,V1O2
154,1.0,White,V1O2
155,1.0,White,V1O2
156,0.0,White,V1O2
157,1.0,White,V1O2
158,1.0,White,V1O2
159,0.0,White,V1O2
160,1.0,White,V1O2
161,0.0,White,V1O2
162,1.0,White,V1O2
163,0.0,White,V1O2
164,0.0,White,V1O2
165,1.0,White,V1O2
166,0.0,White,V1O2
167,1.0,White,V1O2
168,0.0,White,V1O2
169,1.0,White,V1O2
170,0.0,White,V1O2
171,1.0,White,V1O2
172,0.0,White,V1O2
173,0.0,White,V1O2
174,1.0,White,V1O2
175,0.0,White,V1O2
176,1.0,White,V1O2
177,1.0,White,V1O2
178,0.0,White,V1O2
179,1.0,White,V1O2
180,0.0,White,V1O2
181,1.0,White,V1O2
182,1.0,White,V1O2
183,0.0,White,V1O2
184,1.0,White,V1O2
185,1.0,White,V1O2
186,0.0,White,V1O2
187,0.0,White,V1O2
188,1.0,White,V1O2
189,1.0,White,V1O2
190,0.0,White,V1O2
191,1.0,White,V1O2
192,0.0,White,V1O2
193,0.0,White,V1O2
194,1.0,White,V1O2
195,1.0,White,V1O2
196,0.0,White,V1O2
197,0.0,White,V1O2
198,0.0,White,V1O2
199,0.0,White,V1O2
200,1.0,White,V1O2
201,1.0,White,V1O2
202,0.0,White,V1O2
203,1.0,White,V1O2
204,1.0,White,V1O2
205,0.0,White,V1O2
206,0.0,White,V1O2
207,1.0,White,V1O2
208,1.0,White,V1O2
209,0.28703703703703703,White,V1O2
210,0.5,White,V1O2
211,0.9384615384615385,White,V1O2
212,1.0,White,V1O2
213,1.0,White,V1O2
214,0.0,White,V1O2
215,0.9066666666666666,White,V1O2
216,0.009771986970684038,White,V1O2
217,0.0,White,V1O2
218,0.0,White,V1O2
219,0.5964912280701754,White,V1O2
220,0.757455268389662,White,V1O2
221,0.5929824561403508,White,V1O2
222,0.9230769230769231,White,V1O2
223,0.7437185929648241,White,V1O2
224,0.0,White,V1O2
225,0.29818181818181816,White,V1O2
226,1.0,White,V1O2
227,1.0,White,V1O2
228,1.0,White,V1O2
229,1.0,White,V1O2
230,1.0,White,V1O2
231,1.0,White,V1O2
232,0.0,White,V1O2
233,1.0,White,V1O2
234,0.0,White,V1O2
235,1.0,White,V1O2
236,0.0,White,V1O2
237,1.0,White,V1O2
238,0.0,White,V1O2
239,0.0,White,V1O2
240,0.0,White,V1O2
241,1.0,White,V1O2
242,1.0,White,V1O2
243,1.0,White,V1O2
244,0.0,White,V1O2
245,0.0,White,V1O2
246,0.0,White,V1O2
247,0.0,White,V1O2
248,1.0,White,V1O2
249,0.08375634517766498,White,V1O2
250,1.0,White,V1O2
251,1.0,White,V1O2
252,0.0,White,V1O2
253,1.0,White,V1O2
254,0.0,White,V1O2
255,0.0,White,V1O2
256,0.0,White,V1O2
257,0.0,White,V1O2
258,1.0,White,V1O2
259,0.0,White,V1O2
260,1.0,White,V1O2
261,1.0,White,V1O2
262,0.0012239902080783353,White,V1O2
263,1.0,White,V1O2
264,0.0,White,V1O2
265,0.2674698795180723,White,V1O2
266,0.0,White,V1O2
267,0.2647754137115839,White,V1O2
268,0.0,White,V1O2
269,1.0,White,V1O2
270,1.0,White,V1O2
271,0.0,White,V1O2
272,0.0,White,V1O2
273,0.0,White,V1O2
274,1.0,White,V1O2
275,0.0,White,V1O2
276,0.7799227799227799,White,V1O2
277,0.9021601016518425,White,V1O2
278,0.3840104849279161,White,V1O2
279,1.0,White,V1O2
280,1.0,White,V1O2
281,0.0,White,V1O2
282,0.0,White,V1O2
283,0.0,White,V1O2
284,0.07730061349693251,White,V1O2
285,1.0,White,V1O2
286,0.922077922077922,White,V1O2
287,0.0,White,V1O2
288,1.0,White,V1O2
289,0.0,White,V1O2
290,1.0,White,V1O2
291,1.0,White,V1O2
292,1.0,White,V1O2
293,0.6811397557666214,White,V1O2
294,1.0,White,V1O2
295,0.8787878787878788,White,V1O2
296,0.0,White,V1O2
297,1.0,White,V1O2
298,0.0,White,V1O2
299,0.9883116883116884,White,V1O2
300,0.0,White,V1O2
301,0.0,White,V1O2
302,0.0,White,V1O2
303,0.0,White,V1O2
304,1.0,White,V1O2
305,0.9513991163475699,White,V1O2
306,1.0,White,V1O2
307,0.6384742951907131,White,V1O2
308,1.0,White,V1O2
309,0.0,White,V1O2
310,0.0,White,V1O2
311,0.6062322946175638,White,V1O2
312,0.0,White,V1O2
313,0.0,White,V1O2
314,1.0,White,V1O2
315,0.0,White,V1O2
316,0.0,White,V1O2
317,0.0,White,V1O2
318,0.0,White,V1O2
319,1.0,White,V1O2
320,1.0,White,V1O2
321,1.0,White,V1O2
322,0.0,White,V1O2
323,1.0,White,V1O2
324,1.0,White,V1O2
325,1.0,White,V1O2
326,0.0,White,V1O2
327,1.0,White,V1O2
328,1.0,White,V1O2
329,0.0,White,V1O2
330,1.0,White,V1O2
331,0.0,White,V1O2
332,1.0,White,V1O2
333,1.0,White,V1O2
334,0.0,White,V1O2
335,0.0,White,V1O2
336,0.0,White,V1O2
337,1.0,White,V1O2
338,1.0,White,V1O2
339,1.0,White,V1O2
340,0.0,White,V1O2
341,0.0,White,V1O2
342,1.0,White,V1O2
343,1.0,White,V1O2
344,1.0,White,V1O2
345,1.0,White,V1O2
346,1.0,White,V1O2
347,0.0,White,V1O2
348,1.0,White,V1O2
349,0.0,White,V1O2
350,1.0,White,V1O2
351,1.0,White,V1O2
352,1.0,White,V1O2
353,0.0,White,V1O2
354,0.0,White,V1O2
355,1.0,White,V1O2
356,1.0,White,V1O2
357,0.0,White,V1O2
358,1.0,White,V1O2
359,1.0,White,V1O2
360,1.0,White,V1O2
361,0.2092426187419769,White,V1O2
362,0.0,White,V1O2
363,0.0,White,V1O2
364,0.0,White,V1O2
365,1.0,White,V1O2
366,0.0,White,V1O2
367,1.0,White,V1O2
368,1.0,White,V1O2
369,0.0,White,V1O2
370,1.0,White,V1O2
371,0.0,White,V1O2
372,0.0,White,V1O2
373,0.0,White,V1O2
374,0.0,White,V1O2
375,0.2033898305084746,White,V1O2
376,0.0,White,V1O2
377,1.0,White,V1O2
378,1.0,White,V1O2
379,0.04041570438799076,White,V1O2
380,0.40380047505938244,White,V1O2
381,0.36319612590799033,White,V1O2
382,0.48495788206979545,White,V1O2
383,0.5997229916897507,White,V1O2
384,0.4784263959390863,White,V1O2
385,0.0,White,V1O2
386,0.47468354430379744,White,V1O2
387,0.35724331926863573,White,V1O2
388,0.7008244994110718,White,V1O2
389,0.4797979797979798,White,V1O2
390,0.0,White,V1O2
391,0.6586666666666666,White,V1O2
392,1.0,White,V1O2
393,0.0,White,V1O2
394,1.0,White,V1O2
395,0.8962386511024644,White,V1O2
396,0.0,White,V1O2
397,0.15920398009950248,White,V1O2
398,0.18341708542713567,White,V1O2
399,0.0,White,V1O2
400,0.744429882044561,White,V1O2
401,0.0,White,V1O2
402,0.0,White,V1O2
403,1.0,White,V1O2
404,0.0,White,V1O2
405,0.0,White,V1O2
406,1.0,White,V1O2
407,0.0,White,V1O2
408,0.0,White,V1O2
409,0.0,White,V1O2
410,0.0,White,V1O2
411,0.0,White,V1O2
412,1.0,White,V1O2
413,0.0,White,V1O2
414,1.0,White,V1O2
415,1.0,White,V1O2
416,0.0,White,V1O2
417,0.0,White,V1O2
418,1.0,White,V1O2
419,1.0,White,V1O2
420,1.0,White,V1O2
421,0.0,White,V1O2
422,1.0,White,V1O2
423,0.0,White,V1O2
424,0.0,White,V1O2
425,0.0,White,V1O2
426,1.0,White,V1O2
427,1.0,White,V1O2
428,0.0,White,V1O2
429,0.0,White,V1O2
430,0.5862913096695227,White,V1O2
431,0.0,White,V1O2
432,0.6524216524216524,White,V1O2
433,1.0,White,V1O2
434,1.0,White,V1O2
435,0.0,White,V1O2
436,0.0,White,V1O2
437,1.0,White,V1O2
438,1.0,White,V1O2
439,0.7552083333333334,White,V1O2
440,1.0,White,V1O2
441,1.0,White,V1O2
442,1.0,White,V1O2
443,0.9072532699167658,White,V1O2
444,0.0,White,V1O2
445,0.5,White,V1O2
446,0.06797853309481217,White,V1O2
447,0.0,White,V1O2
448,0.0,White,V1O2
449,1.0,White,V1O2
450,1.0,White,V1O2
451,0.0,White,V1O2
452,0.0,White,V1O2
453,0.0,White,V1O2
454,1.0,White,V1O2
455,0.024330900243309004,White,V1O2
456,0.0,White,V1O2
457,0.6043533930857875,White,V1O2
458,0.0,White,V1O2
459,1.0,White,V1O2
460,0.0,White,V1O2
461,1.0,White,V1O2
462,1.0,White,V1O2
463,1.0,White,V1O2
464,1.0,White,V1O2
465,0.7686567164179104,White,V1O2
466,1.0,White,V1O2
467,1.0,White,V1O2
468,0.0,White,V1O2
469,0.0,White,V1O2
470,1.0,White,V1O2
471,0.0,White,V1O2
472,1.0,White,V1O2
473,1.0,White,V1O2
474,1.0,White,V1O2
475,0.0,White,V1O2
476,0.0,White,V1O2
477,1.0,White,V1O2
