Episode,Performance,Distractor,Correct
0,0.037037037037037035,White,V1O1
1,0.0,White,V1O1
2,1.0,White,V1O1
3,0.28640776699029125,White,V1O1
4,0.0,White,V1O1
5,0.0,White,V1O1
6,1.0,White,V1O1
7,0.0,White,V1O1
8,0.0,White,V1O1
9,1.0,White,V1O1
10,1.0,White,V1O1
11,0.0,White,V1O1
12,0.0,White,V1O1
13,0.0,White,V1O1
14,1.0,White,V1O1
15,1.0,White,V1O1
16,0.0,White,V1O1
17,1.0,White,V1O1
18,0.0,White,V1O1
19,1.0,White,V1O1
20,1.0,White,V1O1
21,1.0,White,V1O1
22,0.0,White,V1O1
23,0.5,White,V1O1
24,0.0,White,V1O1
25,0.5,White,V1O1
26,0.0,White,V1O1
27,1.0,White,V1O1
28,0.0,White,V1O1
29,0.0,White,V1O1
30,1.0,White,V1O1
31,0.42424242424242425,White,V1O1
32,0.0,White,V1O1
33,1.0,White,V1O1
34,1.0,White,V1O1
35,1.0,White,V1O1
36,0.0,White,V1O1
37,0.6839080459770115,White,V1O1
38,1.0,White,V1O1
39,0.0,White,V1O1
40,0.34014869888475835,White,V1O1
41,1.0,White,V1O1
42,0.9020833333333333,White,V1O1
43,0.7658536585365854,White,V1O1
44,1.0,White,V1O1
45,0.8601864181091877,White,V1O1
46,0.793939393939394,White,V1O1
47,0.10377358490566038,White,V1O1
48,0.6362275449101796,White,V1O1
49,0.46572934973637964,White,V1O1
50,0.07692307692307693,White,V1O1
51,0.9955817378497791,White,V1O1
52,0.0,White,V1O1
53,0.3843058350100604,White,V1O1
54,0.893167701863354,White,V1O1
55,0.8245341614906833,White,V1O1
56,0.0,White,V1O1
57,0.580952380952381,White,V1O1
58,0.7308868501529052,White,V1O1
59,0.0,White,V1O1
60,0.0,White,V1O1
61,1.0,White,V1O1
62,0.0,White,V1O1
63,0.4737678855325914,White,V1O1
64,0.18677685950413223,White,V1O1
65,0.8008298755186722,White,V1O1
66,0.0,White,V1O1
67,0.0,White,V1O1
68,0.27633209417596033,White,V1O1
69,0.6293436293436293,White,V1O1
70,0.8158567774936062,White,V1O1
71,1.0,White,V1O1
72,0.0,White,V1O1
73,0.16390977443609023,White,V1O1
74,1.0,White,V1O1
75,0.15188172043010753,White,V1O1
76,0.8544117647058823,White,V1O1
77,0.0,White,V1O1
78,0.4599686028257457,White,V1O1
79,0.89937106918239,White,V1O1
80,0.7299843014128728,White,V1O1
81,0.6504178272980501,White,V1O1
82,0.0,White,V1O1
83,0.0,White,V1O1
84,0.0,White,V1O1
85,0.5348189415041783,White,V1O1
86,0.0,White,V1O1
87,0.0,White,V1O1
88,0.4057507987220447,White,V1O1
89,1.0,White,V1O1
90,0.9946452476572959,White,V1O1
91,0.848,White,V1O1
92,0.0,White,V1O1
93,0.0,White,V1O1
94,0.0,White,V1O1
95,0.0,White,V1O1
96,1.0,White,V1O1
97,0.0,White,V1O1
98,0.0,White,V1O1
99,0.18057455540355677,White,V1O1
100,1.0,White,V1O1
101,0.0,White,V1O1
102,1.0,White,V1O1
103,1.0,White,V1O1
104,0.0,White,V1O1
105,0.0,White,V1O1
106,1.0,White,V1O1
107,0.0,White,V1O1
108,1.0,White,V1O1
109,0.0,White,V1O1
110,0.0,White,V1O1
111,1.0,White,V1O1
112,1.0,White,V1O1
113,0.0,White,V1O1
114,0.0,White,V1O1
115,1.0,White,V1O1
116,0.0,White,V1O1
117,0.0,White,V1O1
118,0.0,White,V1O1
119,1.0,White,V1O1
120,0.0,White,V1O1
121,0.0,White,V1O1
122,1.0,White,V1O1
123,0.0,White,V1O1
124,1.0,White,V1O1
125,0.0,White,V1O1
126,1.0,White,V1O1
127,1.0,White,V1O1
128,0.0,White,V1O1
129,0.0,White,V1O1
130,1.0,White,V1O1
131,1.0,White,V1O1
132,0.0,White,V1O1
133,1.0,White,V1O1
134,1.0,White,V1O1
135,0.0,White,V1O1
136,1.0,White,V1O1
137,1.0,White,V1O1
138,0.0,White,V1O1
139,1.0,White,V1O1
140,0.0,White,V1O1
141,0.0,White,V1O1
142,0.0,White,V1O1
143,0.0,White,V1O1
144,0.0,White,V1O1
145,1.0,White,V1O1
146,1.0,White,V1O1
147,0.0,White,V1O1
148,1.0,White,V1O1
149,1.0,White,V1O1
150,1.0,White,V1O1
151,1.0,White,V1O1
152,1.0,White,V1O1
153,1.0,White,V1O1
154,0.0,White,V1O1
155,1.0,White,V1O1
156,0.0,White,V1O1
157,1.0,White,V1O1
158,1.0,White,V1O1
159,0.0,White,V1O1
160,1.0,White,V1O1
161,1.0,White,V1O1
162,0.0,White,V1O1
163,1.0,White,V1O1
164,0.0,White,V1O1
165,0.0,White,V1O1
166,1.0,White,V1O1
167,1.0,White,V1O1
168,1.0,White,V1O1
169,1.0,White,V1O1
170,0.0,White,V1O1
171,0.0,White,V1O1
172,0.0,White,V1O1
173,0.06537890044576523,White,V1O1
174,0.0,White,V1O1
175,1.0,White,V1O1
176,1.0,White,V1O1
177,0.0,White,V1O1
178,0.0,White,V1O1
179,0.0,White,V1O1
180,1.0,White,V1O1
181,1.0,White,V1O1
182,0.0,White,V1O1
183,0.0,White,V1O1
184,0.9248407643312102,White,V1O1
185,1.0,White,V1O1
186,1.0,White,V1O1
187,1.0,White,V1O1
188,0.0,White,V1O1
189,0.0,White,V1O1
190,1.0,White,V1O1
191,1.0,White,V1O1
192,1.0,White,V1O1
193,0.0,White,V1O1
194,0.0,White,V1O1
195,0.0,White,V1O1
196,0.0,White,V1O1
197,1.0,White,V1O1
198,1.0,White,V1O1
199,0.0,White,V1O1
200,0.0,White,V1O1
201,1.0,White,V1O1
202,0.0,White,V1O1
203,1.0,White,V1O1
204,0.0,White,V1O1
205,1.0,White,V1O1
206,1.0,White,V1O1
207,1.0,White,V1O1
208,0.0,White,V1O1
209,0.03081232492997199,White,V1O1
210,0.0,White,V1O1
211,1.0,White,V1O1
212,0.0,White,V1O1
213,0.0,White,V1O1
214,1.0,White,V1O1
215,0.0,White,V1O1
216,0.0,White,V1O1
217,1.0,White,V1O1
218,0.0,White,V1O1
219,0.0,White,V1O1
220,0.0,White,V1O1
221,1.0,White,V1O1
222,0.0,White,V1O1
223,1.0,White,V1O1
224,0.0,White,V1O1
225,0.0,White,V1O1
226,1.0,White,V1O1
227,0.8131067961165048,White,V1O1
228,0.0,White,V1O1
229,1.0,White,V1O1
230,1.0,White,V1O1
