Episode,Performance,Distractor,Correct
0,0.0,White,V5O1
1,1.0,White,V5O1
2,1.0,White,V5O1
3,0.0,White,V5O1
4,0.6682692307692307,White,V5O1
5,1.0,White,V5O1
6,0.0,White,V5O1
7,1.0,White,V5O1
8,0.08192090395480225,White,V5O1
9,0.0,White,V5O1
10,0.5,White,V5O1
11,0.0,White,V5O1
12,0.0,White,V5O1
13,0.3701067615658363,White,V5O1
14,1.0,White,V5O1
15,0.0,White,V5O1
16,1.0,White,V5O1
17,1.0,White,V5O1
18,0.6206896551724138,White,V5O1
19,0.0,White,V5O1
20,0.0,White,V5O1
21,1.0,White,V5O1
22,1.0,White,V5O1
23,1.0,White,V5O1
24,0.0,White,V5O1
25,0.0,White,V5O1
26,1.0,White,V5O1
27,0.0,White,V5O1
28,0.0,White,V5O1
29,0.0,White,V5O1
30,0.5,White,V5O1
31,0.9375,White,V5O1
32,0.0,White,V5O1
33,0.0,White,V5O1
34,0.0,White,V5O1
35,1.0,White,V5O1
36,0.0,White,V5O1
37,0.0,White,V5O1
38,1.0,White,V5O1
39,0.0,White,V5O1
40,1.0,White,V5O1
41,1.0,White,V5O1
42,0.6862745098039216,White,V5O1
43,0.0,White,V5O1
44,0.0,White,V5O1
45,1.0,White,V5O1
46,0.0,White,V5O1
47,1.0,White,V5O1
48,0.0,White,V5O1
49,0.0,White,V5O1
50,0.0,White,V5O1
51,0.6502890173410405,White,V5O1
52,0.9872262773722628,White,V5O1
53,0.0,White,V5O1
54,1.0,White,V5O1
55,0.5119887165021156,White,V5O1
56,0.14671814671814673,White,V5O1
57,0.41144901610017887,White,V5O1
58,1.0,White,V5O1
59,0.16555407209612816,White,V5O1
60,0.23529411764705882,White,V5O1
61,0.7633587786259542,White,V5O1
62,0.0031645569620253164,White,V5O1
63,0.0,White,V5O1
64,0.7589531680440771,White,V5O1
65,1.0,White,V5O1
66,0.3968668407310705,White,V5O1
67,0.0,White,V5O1
68,1.0,White,V5O1
69,0.5413271245634459,White,V5O1
70,0.3147410358565737,White,V5O1
71,1.0,White,V5O1
72,1.0,White,V5O1
73,0.0,White,V5O1
74,0.34663341645885287,White,V5O1
75,0.0,White,V5O1
76,0.0,White,V5O1
77,1.0,White,V5O1
78,1.0,White,V5O1
79,1.0,White,V5O1
80,0.0,White,V5O1
81,1.0,White,V5O1
82,1.0,White,V5O1
83,0.0,White,V5O1
84,1.0,White,V5O1
85,0.0,White,V5O1
86,0.0,White,V5O1
87,0.0,White,V5O1
88,0.0,White,V5O1
89,0.0,White,V5O1
90,0.0,White,V5O1
91,0.0,White,V5O1
92,1.0,White,V5O1
93,1.0,White,V5O1
94,0.0,White,V5O1
95,0.0,White,V5O1
96,1.0,White,V5O1
97,0.0,White,V5O1
98,0.0,White,V5O1
99,0.0,White,V5O1
100,0.0,White,V5O1
101,1.0,White,V5O1
102,0.0,White,V5O1
103,1.0,White,V5O1
104,1.0,White,V5O1
105,0.0,White,V5O1
106,1.0,White,V5O1
107,0.0,White,V5O1
108,0.0,White,V5O1
109,0.0,White,V5O1
110,1.0,White,V5O1
111,0.0,White,V5O1
112,1.0,White,V5O1
113,0.0,White,V5O1
114,1.0,White,V5O1
115,1.0,White,V5O1
116,0.0,White,V5O1
117,1.0,White,V5O1
118,1.0,White,V5O1
119,0.0,White,V5O1
120,1.0,White,V5O1
121,0.0,White,V5O1
122,0.0,White,V5O1
123,0.0,White,V5O1
124,0.0,White,V5O1
125,1.0,White,V5O1
126,1.0,White,V5O1
127,1.0,White,V5O1
128,1.0,White,V5O1
129,0.0,White,V5O1
130,1.0,White,V5O1
131,0.0,White,V5O1
132,1.0,White,V5O1
133,0.0,White,V5O1
134,1.0,White,V5O1
135,0.0,White,V5O1
136,1.0,White,V5O1
137,0.0,White,V5O1
138,0.0,White,V5O1
139,0.0,White,V5O1
140,0.0,White,V5O1
141,0.0,White,V5O1
142,0.0,White,V5O1
143,0.0,White,V5O1
144,0.0,White,V5O1
145,1.0,White,V5O1
146,0.0,White,V5O1
147,0.0,White,V5O1
148,0.0,White,V5O1
149,1.0,White,V5O1
150,1.0,White,V5O1
151,0.0,White,V5O1
152,0.0,White,V5O1
153,1.0,White,V5O1
154,1.0,White,V5O1
155,0.0,White,V5O1
156,0.0,White,V5O1
157,1.0,White,V5O1
158,0.0,White,V5O1
159,1.0,White,V5O1
160,0.0,White,V5O1
161,1.0,White,V5O1
162,0.0,White,V5O1
163,1.0,White,V5O1
164,0.0,White,V5O1
165,0.0,White,V5O1
166,1.0,White,V5O1
167,0.0,White,V5O1
