Episode,Performance,Distractor,Correct
0,1.0,White,V1O2
1,1.0,White,V1O2
2,0.012315270935960592,White,V1O2
3,0.0,White,V1O2
4,1.0,White,V1O2
5,0.2360939431396786,White,V1O2
6,1.0,White,V1O2
7,0.8955223880597015,White,V1O2
8,0.0,White,V1O2
9,1.0,White,V1O2
10,1.0,White,V1O2
11,0.0,White,V1O2
12,0.0,White,V1O2
13,1.0,White,V1O2
14,0.0,White,V1O2
15,0.11899791231732777,White,V1O2
16,0.7012113055181696,White,V1O2
17,0.46925972396486826,White,V1O2
18,0.7285714285714285,White,V1O2
19,0.628032345013477,White,V1O2
20,0.0,White,V1O2
21,0.0,White,V1O2
22,0.0,White,V1O2
23,0.0,White,V1O2
24,0.0,White,V1O2
25,0.0,White,V1O2
26,0.030201342281879196,White,V1O2
27,0.5917312661498708,White,V1O2
28,0.41450777202072536,White,V1O2
29,0.0,White,V1O2
30,0.0,White,V1O2
31,0.0,White,V1O2
32,0.0,White,V1O2
33,1.0,White,V1O2
34,1.0,White,V1O2
35,0.0,White,V1O2
36,1.0,White,V1O2
37,1.0,White,V1O2
38,0.0,White,V1O2
39,1.0,White,V1O2
40,0.0,White,V1O2
41,0.0,White,V1O2
42,0.0,White,V1O2
43,0.0,White,V1O2
44,0.0,White,V1O2
45,0.8141361256544503,White,V1O2
46,0.0,White,V1O2
47,0.777602523659306,White,V1O2
48,0.0,White,V1O2
49,0.0,White,V1O2
50,0.15289256198347106,White,V1O2
51,0.0,White,V1O2
52,1.0,White,V1O2
53,0.6524590163934426,White,V1O2
54,0.5827900912646675,White,V1O2
55,0.4030261348005502,White,V1O2
56,0.9229828850855746,White,V1O2
57,0.41150442477876104,White,V1O2
58,0.46577380952380953,White,V1O2
59,0.6285240464344942,White,V1O2
60,0.8894536213468869,White,V1O2
61,0.8173374613003096,White,V1O2
62,0.0,White,V1O2
63,0.0,White,V1O2
64,0.34799482535575677,White,V1O2
65,0.0,White,V1O2
66,1.0,White,V1O2
67,0.23249669749009247,White,V1O2
68,0.6492082825822169,White,V1O2
69,0.49938650306748467,White,V1O2
70,0.3296969696969697,White,V1O2
71,0.7686832740213523,White,V1O2
72,0.0,White,V1O2
73,0.7431906614785992,White,V1O2
74,0.09036144578313253,White,V1O2
75,0.4684385382059801,White,V1O2
76,0.6417033773861968,White,V1O2
77,1.0,White,V1O2
78,0.0,White,V1O2
79,0.136986301369863,White,V1O2
80,1.0,White,V1O2
81,0.0,White,V1O2
82,0.47275204359673023,White,V1O2
83,0.12514757969303425,White,V1O2
84,0.4601156069364162,White,V1O2
85,0.8536299765807962,White,V1O2
86,0.5621827411167513,White,V1O2
87,0.4600715137067938,White,V1O2
88,0.8710843373493976,White,V1O2
89,1.0,White,V1O2
90,0.4529616724738676,White,V1O2
91,0.5244072524407253,White,V1O2
92,0.19973718791064388,White,V1O2
93,0.1410459587955626,White,V1O2
94,1.0,White,V1O2
95,0.0,White,V1O2
96,1.0,White,V1O2
97,0.9884910485933504,White,V1O2
98,0.7636152954808807,White,V1O2
99,0.6547945205479452,White,V1O2
100,0.7334593572778828,White,V1O2
101,0.695137976346912,White,V1O2
102,0.7492307692307693,White,V1O2
103,0.7008871989860583,White,V1O2
104,0.13748378728923477,White,V1O2
105,0.47023086269744835,White,V1O2
106,0.0,White,V1O2
107,0.25379939209726443,White,V1O2
108,0.3676056338028169,White,V1O2
109,0.33172496984318456,White,V1O2
110,0.7678780773739742,White,V1O2
111,0.6012048192771084,White,V1O2
112,0.7552693208430913,White,V1O2
113,0.6108433734939759,White,V1O2
114,1.0,White,V1O2
115,0.43973509933774835,White,V1O2
116,0.20973348783314022,White,V1O2
117,0.31282722513089006,White,V1O2
118,1.0,White,V1O2
119,0.4168900804289544,White,V1O2
120,0.3574144486692015,White,V1O2
121,1.0,White,V1O2
122,0.8864994026284349,White,V1O2
123,0.0,White,V1O2
124,0.07302709069493522,White,V1O2
125,1.0,White,V1O2
126,0.27926829268292686,White,V1O2
127,0.6203271028037384,White,V1O2
128,0.5688836104513064,White,V1O2
129,0.6338939197930142,White,V1O2
130,0.7805164319248826,White,V1O2
131,0.06225165562913907,White,V1O2
132,0.40116959064327484,White,V1O2
133,1.0,White,V1O2
134,0.5662042875157629,White,V1O2
135,1.0,White,V1O2
136,0.0,White,V1O2
137,0.0,White,V1O2
138,0.1652989449003517,White,V1O2
139,0.0,White,V1O2
140,0.0,White,V1O2
141,0.0,White,V1O2
142,0.0,White,V1O2
143,0.0,White,V1O2
144,0.0,White,V1O2
145,1.0,White,V1O2
146,1.0,White,V1O2
147,1.0,White,V1O2
148,0.0,White,V1O2
149,1.0,White,V1O2
150,0.0,White,V1O2
151,0.0,White,V1O2
152,0.0,White,V1O2
153,0.0,White,V1O2
154,0.0,White,V1O2
155,1.0,White,V1O2
156,0.0,White,V1O2
157,1.0,White,V1O2
158,1.0,White,V1O2
159,1.0,White,V1O2
160,0.0,White,V1O2
161,0.0,White,V1O2
162,0.0,White,V1O2
163,1.0,White,V1O2
164,0.0,White,V1O2
165,0.0,White,V1O2
166,1.0,White,V1O2
167,0.0,White,V1O2
168,1.0,White,V1O2
169,0.0,White,V1O2
170,0.0,White,V1O2
171,0.0,White,V1O2
172,0.0,White,V1O2
173,0.0,White,V1O2
174,0.0,White,V1O2
175,1.0,White,V1O2
176,1.0,White,V1O2
177,0.0,White,V1O2
178,0.0,White,V1O2
179,1.0,White,V1O2
180,1.0,White,V1O2
181,0.0,White,V1O2
182,1.0,White,V1O2
183,1.0,White,V1O2
184,0.0,White,V1O2
185,1.0,White,V1O2
186,1.0,White,V1O2
187,0.0,White,V1O2
188,0.0,White,V1O2
189,1.0,White,V1O2
190,1.0,White,V1O2
191,0.0,White,V1O2
192,1.0,White,V1O2
193,1.0,White,V1O2
194,0.0,White,V1O2
195,1.0,White,V1O2
196,0.0,White,V1O2
197,0.0,White,V1O2
198,0.0,White,V1O2
199,0.0,White,V1O2
200,0.0,White,V1O2
201,0.0,White,V1O2
202,1.0,White,V1O2
203,0.0,White,V1O2
204,0.0,White,V1O2
