Episode,Performance,Distractor,Correct
0,0.0,White,V5O2
1,1.0,White,V5O2
2,0.0,White,V5O2
3,0.0,White,V5O2
4,0.3567567567567568,White,V5O2
5,1.0,White,V5O2
6,0.0,White,V5O2
7,1.0,White,V5O2
8,0.9709090909090909,White,V5O2
9,0.0,White,V5O2
10,0.9887005649717514,White,V5O2
11,1.0,White,V5O2
12,0.0,White,V5O2
13,0.00303951367781155,White,V5O2
14,0.0,White,V5O2
15,0.5,White,V5O2
16,0.3785425101214575,White,V5O2
17,1.0,White,V5O2
18,1.0,White,V5O2
19,0.0,White,V5O2
20,0.16203703703703703,White,V5O2
21,1.0,White,V5O2
22,0.0,White,V5O2
23,0.0,White,V5O2
24,0.0,White,V5O2
25,0.7227036395147314,White,V5O2
26,0.0,White,V5O2
27,1.0,White,V5O2
28,0.0,White,V5O2
29,1.0,White,V5O2
30,0.5,White,V5O2
31,1.0,White,V5O2
32,0.0,White,V5O2
33,0.6639072847682119,White,V5O2
34,0.32918395573997233,White,V5O2
35,1.0,White,V5O2
36,0.7570093457943925,White,V5O2
37,0.0,White,V5O2
38,0.6278447121820616,White,V5O2
39,0.4794344473007712,White,V5O2
40,0.35308343409915355,White,V5O2
41,1.0,White,V5O2
42,0.00539568345323741,White,V5O2
43,0.0,White,V5O2
44,1.0,White,V5O2
45,1.0,White,V5O2
46,0.0,White,V5O2
47,0.05223880597014925,White,V5O2
48,0.6100746268656716,White,V5O2
49,1.0,White,V5O2
50,0.3406754772393539,White,V5O2
51,0.0,White,V5O2
52,0.0,White,V5O2
53,0.0,White,V5O2
54,0.4054834054834055,White,V5O2
55,0.10091743119266056,White,V5O2
56,1.0,White,V5O2
57,1.0,White,V5O2
58,0.0,White,V5O2
59,0.6278586278586279,White,V5O2
60,0.0,White,V5O2
61,1.0,White,V5O2
62,1.0,White,V5O2
63,1.0,White,V5O2
64,0.0,White,V5O2
65,0.994413407821229,White,V5O2
66,1.0,White,V5O2
67,0.7855153203342619,White,V5O2
68,0.1902654867256637,White,V5O2
69,1.0,White,V5O2
70,0.0,White,V5O2
71,1.0,White,V5O2
72,0.5,White,V5O2
73,0.24060150375939848,White,V5O2
74,0.0,White,V5O2
75,1.0,White,V5O2
76,1.0,White,V5O2
77,1.0,White,V5O2
78,1.0,White,V5O2
79,0.0,White,V5O2
80,1.0,White,V5O2
81,1.0,White,V5O2
82,0.0,White,V5O2
83,0.0,White,V5O2
84,0.0,White,V5O2
85,0.0,White,V5O2
86,1.0,White,V5O2
87,0.011538461538461539,White,V5O2
88,1.0,White,V5O2
89,0.0,White,V5O2
90,1.0,White,V5O2
91,0.0,White,V5O2
92,0.041935483870967745,White,V5O2
93,1.0,White,V5O2
94,0.0,White,V5O2
95,0.0,White,V5O2
96,1.0,White,V5O2
97,1.0,White,V5O2
98,1.0,White,V5O2
99,1.0,White,V5O2
100,0.0,White,V5O2
101,0.522077922077922,White,V5O2
102,0.0,White,V5O2
103,1.0,White,V5O2
104,1.0,White,V5O2
105,0.2927400468384075,White,V5O2
106,0.7263610315186246,White,V5O2
107,1.0,White,V5O2
108,1.0,White,V5O2
109,0.0,White,V5O2
110,0.0,White,V5O2
111,0.8598540145985402,White,V5O2
112,0.12429378531073447,White,V5O2
113,0.0,White,V5O2
114,1.0,White,V5O2
115,1.0,White,V5O2
116,0.0,White,V5O2
117,1.0,White,V5O2
118,0.0,White,V5O2
119,0.0,White,V5O2
120,0.0,White,V5O2
121,1.0,White,V5O2
122,0.0,White,V5O2
123,0.0,White,V5O2
124,0.0,White,V5O2
125,1.0,White,V5O2
126,0.22377622377622378,White,V5O2
127,1.0,White,V5O2
128,0.0,White,V5O2
129,0.0,White,V5O2
130,1.0,White,V5O2
131,1.0,White,V5O2
132,1.0,White,V5O2
133,0.2635514018691589,White,V5O2
134,1.0,White,V5O2
135,0.0,White,V5O2
136,1.0,White,V5O2
137,0.16188870151770657,White,V5O2
138,0.0,White,V5O2
139,1.0,White,V5O2
140,0.967741935483871,White,V5O2
141,0.0,White,V5O2
142,1.0,White,V5O2
143,0.0,White,V5O2
144,0.0,White,V5O2
145,1.0,White,V5O2
146,1.0,White,V5O2
147,1.0,White,V5O2
148,0.1855421686746988,White,V5O2
149,0.0,White,V5O2
150,0.0,White,V5O2
151,0.0,White,V5O2
152,1.0,White,V5O2
153,1.0,White,V5O2
154,0.0,White,V5O2
155,0.0,White,V5O2
156,0.0,White,V5O2
157,0.0,White,V5O2
158,0.0,White,V5O2
159,0.0,White,V5O2
160,1.0,White,V5O2
161,0.0,White,V5O2
162,1.0,White,V5O2
163,0.0,White,V5O2
164,1.0,White,V5O2
165,1.0,White,V5O2
166,0.0,White,V5O2
167,0.0,White,V5O2
168,0.0,White,V5O2
