Episode,Performance,Distractor,Correct
0,1.0,White,V1O1
1,0.0,White,V1O1
2,0.0,White,V1O1
3,0.5,White,V1O1
4,1.0,White,V1O1
5,0.0,White,V1O1
6,0.9491525423728814,White,V1O1
7,1.0,White,V1O1
8,0.09894459102902374,White,V1O1
9,1.0,White,V1O1
10,0.0,White,V1O1
11,0.0,White,V1O1
12,1.0,White,V1O1
13,0.0,White,V1O1
14,1.0,White,V1O1
15,0.4051094890510949,White,V1O1
16,1.0,White,V1O1
17,1.0,White,V1O1
18,1.0,White,V1O1
19,1.0,White,V1O1
20,0.8812154696132597,White,V1O1
21,0.11823361823361823,White,V1O1
22,0.3391915641476274,White,V1O1
23,0.0,White,V1O1
24,1.0,White,V1O1
25,1.0,White,V1O1
26,1.0,White,V1O1
27,1.0,White,V1O1
28,1.0,White,V1O1
29,0.5303643724696356,White,V1O1
30,1.0,White,V1O1
31,0.0,White,V1O1
32,0.46332737030411447,White,V1O1
33,0.30132450331125826,White,V1O1
34,0.4095826893353941,White,V1O1
35,0.5456140350877193,White,V1O1
36,1.0,White,V1O1
37,1.0,White,V1O1
38,0.9866920152091255,White,V1O1
39,0.5442477876106194,White,V1O1
40,0.0,White,V1O1
41,0.0,White,V1O1
42,0.0,White,V1O1
43,0.0,White,V1O1
44,1.0,White,V1O1
45,0.0,White,V1O1
46,0.9903846153846154,White,V1O1
47,0.0,White,V1O1
48,0.02394106813996317,White,V1O1
49,1.0,White,V1O1
50,0.0,White,V1O1
51,1.0,White,V1O1
52,1.0,White,V1O1
53,0.12449799196787148,White,V1O1
54,0.0,White,V1O1
55,1.0,White,V1O1
56,0.7315340909090909,White,V1O1
57,0.9778051787916153,White,V1O1
58,0.0,White,V1O1
59,0.4204946996466431,White,V1O1
60,0.35478260869565215,White,V1O1
61,0.0,White,V1O1
62,0.0,White,V1O1
63,1.0,White,V1O1
64,1.0,White,V1O1
65,1.0,White,V1O1
66,0.0,White,V1O1
67,1.0,White,V1O1
68,0.0,White,V1O1
69,1.0,White,V1O1
70,0.0,White,V1O1
71,1.0,White,V1O1
72,1.0,White,V1O1
73,0.0,White,V1O1
74,0.0,White,V1O1
75,0.0,White,V1O1
76,1.0,White,V1O1
77,0.0,White,V1O1
78,0.0,White,V1O1
79,0.0,White,V1O1
80,0.7195571955719557,White,V1O1
81,0.578125,White,V1O1
82,0.3842364532019704,White,V1O1
83,0.0,White,V1O1
84,1.0,White,V1O1
85,0.0,White,V1O1
86,0.6697247706422018,White,V1O1
87,0.05116279069767442,White,V1O1
88,0.444,White,V1O1
89,0.1409090909090909,White,V1O1
90,0.6698113207547169,White,V1O1
91,0.8186215235792019,White,V1O1
92,0.0,White,V1O1
93,0.5405742821473158,White,V1O1
94,0.7731239092495636,White,V1O1
95,0.0,White,V1O1
96,1.0,White,V1O1
97,0.08411214953271028,White,V1O1
98,1.0,White,V1O1
99,0.0,White,V1O1
100,0.0,White,V1O1
101,0.0,White,V1O1
102,0.0,White,V1O1
103,1.0,White,V1O1
104,0.25334957369062117,White,V1O1
105,0.5297691373025516,White,V1O1
106,0.08748317631224764,White,V1O1
107,0.859375,White,V1O1
108,0.18104667609618105,White,V1O1
109,0.0,White,V1O1
110,0.37006578947368424,White,V1O1
111,0.22774869109947643,White,V1O1
112,0.31379962192816635,White,V1O1
113,0.6350974930362117,White,V1O1
114,0.21288515406162464,White,V1O1
115,0.36468646864686466,White,V1O1
116,0.887905604719764,White,V1O1
117,0.0,White,V1O1
118,0.295221843003413,White,V1O1
119,0.3536184210526316,White,V1O1
120,0.12762520193861066,White,V1O1
121,0.5496062992125984,White,V1O1
122,0.5927099841521395,White,V1O1
123,0.40275650842266464,White,V1O1
124,0.6274509803921569,White,V1O1
125,0.6149068322981367,White,V1O1
126,0.6456953642384106,White,V1O1
127,0.5954063604240283,White,V1O1
128,0.56640625,White,V1O1
129,0.5661290322580645,White,V1O1
130,0.5467075038284839,White,V1O1
131,0.40950920245398775,White,V1O1
132,0.4233226837060703,White,V1O1
133,0.1705790297339593,White,V1O1
134,0.45241581259150804,White,V1O1
