Episode,Performance,Distractor,Correct
0,0.0,White,V5O1
1,0.26262626262626265,White,V5O1
2,1.0,White,V5O1
3,0.5,White,V5O1
4,0.0,White,V5O1
5,1.0,White,V5O1
6,0.0,White,V5O1
7,1.0,White,V5O1
8,0.0,White,V5O1
9,1.0,White,V5O1
10,1.0,White,V5O1
11,1.0,White,V5O1
12,1.0,White,V5O1
13,0.0,White,V5O1
14,0.0,White,V5O1
15,1.0,White,V5O1
16,0.0,White,V5O1
17,1.0,White,V5O1
18,0.0,White,V5O1
19,0.0,White,V5O1
20,0.0,White,V5O1
21,0.0,White,V5O1
22,0.0,White,V5O1
23,0.40551181102362205,White,V5O1
24,1.0,White,V5O1
25,0.0,White,V5O1
26,0.0,White,V5O1
27,0.0,White,V5O1
28,0.0,White,V5O1
29,1.0,White,V5O1
30,0.17959183673469387,White,V5O1
31,0.0,White,V5O1
32,0.2288961038961039,White,V5O1
33,0.0,White,V5O1
34,0.4957983193277311,White,V5O1
35,0.3747412008281574,White,V5O1
36,0.0,White,V5O1
37,1.0,White,V5O1
38,0.4721189591078067,White,V5O1
39,0.0,White,V5O1
40,1.0,White,V5O1
41,0.17603911980440098,White,V5O1
42,1.0,White,V5O1
43,0.0,White,V5O1
44,1.0,White,V5O1
45,0.26348547717842324,White,V5O1
46,0.037227214377406934,White,V5O1
47,0.41975308641975306,White,V5O1
48,0.8586387434554974,White,V5O1
49,1.0,White,V5O1
50,0.0,White,V5O1
51,0.0,White,V5O1
52,1.0,White,V5O1
53,1.0,White,V5O1
54,0.0,White,V5O1
55,1.0,White,V5O1
56,0.0,White,V5O1
57,0.0,White,V5O1
58,0.0,White,V5O1
59,0.0,White,V5O1
60,0.0,White,V5O1
61,0.0,White,V5O1
62,0.0,White,V5O1
63,1.0,White,V5O1
64,0.0,White,V5O1
65,1.0,White,V5O1
66,1.0,White,V5O1
67,1.0,White,V5O1
68,1.0,White,V5O1
69,0.8851612903225806,White,V5O1
70,0.5827725437415882,White,V5O1
71,0.0,White,V5O1
72,1.0,White,V5O1
73,1.0,White,V5O1
74,0.4643377001455604,White,V5O1
75,0.23450586264656617,White,V5O1
76,0.5437262357414449,White,V5O1
77,0.613664596273292,White,V5O1
78,0.4112903225806452,White,V5O1
79,1.0,White,V5O1
80,0.07908611599297012,White,V5O1
81,0.8728606356968215,White,V5O1
82,1.0,White,V5O1
83,0.0,White,V5O1
84,0.0,White,V5O1
85,0.0,White,V5O1
86,1.0,White,V5O1
87,0.5,White,V5O1
88,0.9259259259259259,White,V5O1
89,0.9958217270194986,White,V5O1
90,1.0,White,V5O1
91,0.0,White,V5O1
92,1.0,White,V5O1
93,1.0,White,V5O1
94,0.0,White,V5O1
95,0.0,White,V5O1
96,1.0,White,V5O1
97,0.9694656488549618,White,V5O1
98,0.0,White,V5O1
99,0.6854460093896714,White,V5O1
100,1.0,White,V5O1
101,0.0,White,V5O1
102,0.5634920634920635,White,V5O1
103,1.0,White,V5O1
104,0.0,White,V5O1
105,0.0,White,V5O1
106,1.0,White,V5O1
107,1.0,White,V5O1
108,0.0,White,V5O1
109,0.0,White,V5O1
110,0.5,White,V5O1
111,1.0,White,V5O1
112,0.2183406113537118,White,V5O1
113,1.0,White,V5O1
114,1.0,White,V5O1
115,0.0,White,V5O1
116,0.0,White,V5O1
117,0.0,White,V5O1
118,0.0,White,V5O1
119,1.0,White,V5O1
120,1.0,White,V5O1
121,0.0,White,V5O1
122,0.0,White,V5O1
123,0.0,White,V5O1
124,1.0,White,V5O1
125,1.0,White,V5O1
126,0.0,White,V5O1
127,1.0,White,V5O1
128,1.0,White,V5O1
129,1.0,White,V5O1
130,1.0,White,V5O1
131,0.0,White,V5O1
132,1.0,White,V5O1
133,1.0,White,V5O1
134,0.0,White,V5O1
135,1.0,White,V5O1
136,0.03943217665615142,White,V5O1
137,0.8510928961748634,White,V5O1
138,0.0,White,V5O1
139,0.9636363636363636,White,V5O1
140,0.4583333333333333,White,V5O1
141,0.9338624338624338,White,V5O1
142,0.0,White,V5O1
143,0.0,White,V5O1
144,0.45290858725761773,White,V5O1
145,0.23469387755102042,White,V5O1
146,1.0,White,V5O1
147,0.4287425149700599,White,V5O1
148,0.7210242587601078,White,V5O1
149,0.0,White,V5O1
150,1.0,White,V5O1
151,0.20748829953198128,White,V5O1
152,0.16666666666666666,White,V5O1
153,1.0,White,V5O1
154,0.17237308146399055,White,V5O1
155,1.0,White,V5O1
156,1.0,White,V5O1
157,0.0,White,V5O1
158,1.0,White,V5O1
159,0.41037735849056606,White,V5O1
160,0.0,White,V5O1
161,0.43967828418230565,White,V5O1
162,0.6661971830985915,White,V5O1
163,0.6671035386631717,White,V5O1
164,0.4112903225806452,White,V5O1
165,0.6896551724137931,White,V5O1
166,0.5607940446650124,White,V5O1
167,0.6152815013404825,White,V5O1
168,0.8205479452054795,White,V5O1
169,0.2830985915492958,White,V5O1
170,0.4648241206030151,White,V5O1
171,0.0,White,V5O1
172,0.5308176100628931,White,V5O1
173,1.0,White,V5O1
174,0.4472573839662447,White,V5O1
175,0.6455331412103746,White,V5O1
176,0.0,White,V5O1
177,0.8867667121418826,White,V5O1
178,1.0,White,V5O1
179,0.8963660834454913,White,V5O1
180,0.3612273361227336,White,V5O1
181,0.9964747356051704,White,V5O1
182,0.4725415070242657,White,V5O1
183,0.5610328638497653,White,V5O1
184,1.0,White,V5O1
185,0.7756410256410257,White,V5O1
186,1.0,White,V5O1
187,0.0,White,V5O1
188,0.0,White,V5O1
189,0.0,White,V5O1
190,0.40688775510204084,White,V5O1
191,0.47599451303155005,White,V5O1
192,0.5796737766624843,White,V5O1
193,1.0,White,V5O1
194,0.0,White,V5O1
195,0.049576783555018135,White,V5O1
196,0.0016863406408094434,White,V5O1
197,1.0,White,V5O1
198,0.9949748743718593,White,V5O1
199,0.7356164383561644,White,V5O1
200,0.33507853403141363,White,V5O1
201,0.6040372670807453,White,V5O1
202,1.0,White,V5O1
203,0.0,White,V5O1
204,0.4786450662739323,White,V5O1
205,0.2640144665461121,White,V5O1
206,1.0,White,V5O1
207,1.0,White,V5O1
208,0.0,White,V5O1
209,0.41656365883807167,White,V5O1
210,1.0,White,V5O1
211,0.19457735247208932,White,V5O1
212,1.0,White,V5O1
213,0.7824519230769231,White,V5O1
214,0.6025157232704402,White,V5O1
215,0.8808353808353808,White,V5O1
216,0.4289855072463768,White,V5O1
217,0.4605678233438486,White,V5O1
218,0.5175808720112518,White,V5O1
219,1.0,White,V5O1
220,0.4654696132596685,White,V5O1
221,0.9176136363636364,White,V5O1
222,0.6816666666666666,White,V5O1
223,0.7859327217125383,White,V5O1
224,0.5189504373177842,White,V5O1
225,0.6965986394557823,White,V5O1
226,0.0,White,V5O1
227,0.06447534766118837,White,V5O1
228,1.0,White,V5O1
229,1.0,White,V5O1
230,0.0,White,V5O1
231,0.5822485207100592,White,V5O1
232,0.5548216644649934,White,V5O1
233,0.40963855421686746,White,V5O1
234,1.0,White,V5O1
235,0.21291866028708134,White,V5O1
236,0.0,White,V5O1
237,1.0,White,V5O1
238,0.0,White,V5O1
239,0.4172099087353325,White,V5O1
