test.cond,avg,std_dev,avg_dev,se
Angry,0.493799955,0.076813159,0.058348484,0.021304137
Edge,0.842091478,0.06640099,0.044872367,0.018416321
EyesTeeth,0.683138072,0.091892857,0.071240927,0.025486493
Fear,0.500210174,0.098351049,0.084671234,0.027277673
Color,0.68578791,0.169529137,0.125805738,0.047018923
Shape,0.52539434,0.082557733,0.071525046,0.022897395
Rest,0.875084828,0.041443293,0.034039322,0.011494301
Inverted,0.666029121,0.150922289,0.119874339,0.041858312
NoTexture,0.815536482,0.08500796,0.062105101,0.023576966
Warped,0.490437207,0.091986895,0.069401911,0.025512574
Old,0.638084186,0.11548877,0.090085111,0.032030822
