test.cond,avg,std_dev,avg_dev,se
Horiz-50,0.688959546,0.105031672,0.092072026,0.033213931
Horiz-25,0.704697864,0.085181546,0.072068023,0.02693677
Horiz_0,0.692397246,0.109652441,0.081752174,0.034675147
Horiz_25,0.660982289,0.123769874,0.106726176,0.039139471
Horiz_50,0.619013802,0.129121138,0.103233519,0.040831689
Vert-50,0.713624955,0.073227245,0.062486858,0.023156488
Vert-25,0.664783846,0.106532935,0.078312824,0.033688672
Vert_0,0.676968623,0.071122067,0.056702896,0.022490772
Vert_25,0.609983946,0.150640454,0.120410038,0.047636694
Vert_50,0.596556375,0.097386674,0.076504567,0.03079637
DD-50,0.676276498,0.06628747,0.052750972,0.020961939
DD-25,0.637604647,0.089519536,0.073647922,0.028308563
DD_0,0.716973371,0.094648409,0.080699106,0.029930455
DD_25,0.675475353,0.062575028,0.053104002,0.019787961
DD_50,0.707345942,0.111190413,0.08953011,0.035161496
DU-50,0.641237517,0.111833233,0.088410166,0.035364773
DU-25,0.719897148,0.088803071,0.07702728,0.028081997
DU_0,0.747292772,0.081901002,0.066086725,0.025899371
DU_25,0.710377053,0.087900197,0.069108516,0.027796483
DU_50,0.625774485,0.091130859,0.073572121,0.028818108
