ImprintCondition,Phase,TestCondition,TargetVideo,NonTargetVideo,LeftMonitor,RightMonitor,,,,,,,,,,,,,,,,,,,,
Fork_Front,Training,,1fr.mov,White.mov,1fr.mov,White.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,rest,1fr.mov,White.mov,1fr.mov,White.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,1fr.mov,1sr.mov,1fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,2fr.mov,1sr.mov,2fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,3fr.mov,1sr.mov,3fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,4fr.mov,1sr.mov,4fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,5fr.mov,1sr.mov,5fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,6fr.mov,1sr.mov,6fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,7fr.mov,1sr.mov,7fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,8fr.mov,1sr.mov,8fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,9fr.mov,1sr.mov,9fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,10fr.mov,1sr.mov,10fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,11fr.mov,1sr.mov,11fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,12fr.mov,1sr.mov,12fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,1fr.mov,1sr.mov,1fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,2fr.mov,2sr.mov,2fr.mov,2sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,3fr.mov,3sr.mov,3fr.mov,3sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,4fr.mov,4sr.mov,4fr.mov,4sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,5fr.mov,5sr.mov,5fr.mov,5sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,6fr.mov,6sr.mov,6fr.mov,6sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,7fr.mov,7sr.mov,7fr.mov,7sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,8fr.mov,8sr.mov,8fr.mov,8sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,9fr.mov,9sr.mov,9fr.mov,9sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,10fr.mov,10sr.mov,10fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,11fr.mov,11sr.mov,11fr.mov,11sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,12fr.mov,12sr.mov,12fr.mov,12sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Training,,1fr.mov,White.mov,White.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,rest,1fr.mov,White.mov,White.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,1fr.mov,1sr.mov,1sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,2fr.mov,1sr.mov,1sr.mov,2fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,3fr.mov,1sr.mov,1sr.mov,3fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,4fr.mov,1sr.mov,1sr.mov,4fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,5fr.mov,1sr.mov,1sr.mov,5fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,6fr.mov,1sr.mov,1sr.mov,6fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,7fr.mov,1sr.mov,1sr.mov,7fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,8fr.mov,1sr.mov,1sr.mov,8fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,9fr.mov,1sr.mov,1sr.mov,9fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,10fr.mov,1sr.mov,1sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,11fr.mov,1sr.mov,1sr.mov,11fr.mov,,,,,,,,,,,,,,,,,,,,
